Zip,Date Recd,Date Rept,Lab No,1:1 Soil pH,WDRF Buffer,1:1 Soluble Salt,Excess Lime,Organic Matter,CO2-C,H2O Total N,H2O Organic N,H2O Total Organic C,H3A Nitrate,H3A Ammonium,H3A Inorganic Nitrogen,H3A Total Phosphorus,H3A Inorganic Phosphorus,H3A Organic Phosphorus,H3A ICAP Potassium,H3A ICAP Calcium,H3A ICAP Aluminum,H3A ICAP Iron,H3A ICAP Sulfur,H3A ICAP Zinc,H3A ICAP Manganese,H3A ICAP Copper,H3A ICAP Magnesium,H3A ICAP Sodium,% MAC,Organic C:N,Organic N:Inorganic N,Organic N Release,Organic N Reserve,Organic P Release,Organic P Reserve,Soil Health Calculation,Available N,Available P,Available K,Nutrient Value,Traditional N,Haney Test N,Lbs N Difference,N savings,Past Crop,Crop 1,YG 1,Nitrogen Rec 1,P205 Rec 1,K2O Rec 1,Magnesium Rec 1,Sulfur Rec 1,Zinc Rec 1,Iron Rec 1,Manganese Rec 1,Copper Rec 1,Lime Rec 1,Crop 2,YG 2,Nitrogen Rec 2,P205 Rec 2,K2O Rec 2,Magnesium Rec 2,Sulfur Rec 2,Zinc Rec 2,Iron Rec 2,Manganese Rec 2,Copper Rec 2,Lime Rec 2,Crop 3,YG 3,Nitrogen Rec 3,P205 Rec 3,K2O Rec 3,Magnesium Rec 3,Sulfur Rec 3,Zinc Rec 3,Iron Rec 3,Manganese Rec 3,Copper Rec 3,Lime Rec 3,Beta Glucosidase ppm pNP g-1 soil h-1,Urease ppm NH4-N g-1 soil h-1,Phosphodiesterase ppm pNP g-1 soil h-1,Dehydrogenase ppm INTF g-1 soil h-1,Fluorescein Diacetate Hydrolysis ppm fluorescein g-1 soil 3h-1,Beta Glucosaminidase ppm pNP g-1 soil h-1,Phosphomonoesterases (Acid) ppm pNP g-1 soil h-1,Phosphomonoesterases (Alkaline) ppm pNP g-1 soil h-1,Arylsulfatase ppm pNP g-1 soil h-1,Enzyme Soil Moisture %,Beginning Depth,Ending Depth,Cover Crop Mix,Cover crop mix,Sample Type,Test ID,Soil pH 1:1,Wdrf Buffer,"1:1 Electrical Conductivity, mmho/cm","Organic Matter, % LOI","Soil Respiration, ppm CO2-C","H2O Total Org. C, ppm C","H2O Total N, ppm N","H2O Org. N, ppm N","H3A Nitrate, ppm NO3-N","H3A Ammonium, ppm NH4-N","H3A Inorganic N, ppm N","H3A Total Phosphorus, ppm P","H3A Inorganic Phosphorus, ppm PO4-P","H3A Organic Phosphorus, ppm P","H3A Potassium, ppm K","H3A Calcium, ppm Ca","H3A Magnesium, ppm Mg","H3A Sodium, ppm Na","H3A Sulfur, ppm S","H3A Zinc, ppm Zn","H3A Iron, ppm Fe","H3A Manganese, ppm Mn","H3A Copper, ppm Cu","H3A Aluminum, ppm Al","Microbially Active C, %",H2O Org. C:Org. N ,H2O Org. N:H3A Inorg. N,"Organic N Release, ppm N","Organic N Reserve, ppm N","Organic P Release, ppm P","Organic P Reserve, ppm P",Soil Health Score,"Available N, lbs/A","Available P, lbs/A","Available K, lbs/A","Nutrient Value, $","Traditional Test N, lbs/A","Haney Test N, lbs/A","N Difference, lbs/A","N Savings, $","H3A Magnessium, ppm Mg"
64755,7/13/2020,7/13/2020,3.0,6.0,6.5,0.4,NONE,1.9,59.9,32.19,7.77,74.77,22.7,1.72,24.42,27.04,22.22,4.82,36.52,576.75,214.39,321.57,1.93,2.03,65.22,0.81,39.21,24.04,80.11,9.62,0.32,7.77,0.0,4.82,0.0,8.26,77.26,62.19,43.82,95.61,54.48,77.26,22.78,14.58,ALL OTHER CROPS,CORN BU/A,140.0,75.0,15.0,45.0,0.0,19.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64755,7/13/2020,7/13/2020,4.0,6.2,6.8,0.32,NONE,2.0,37.3,42.76,9.88,93.66,30.23,2.65,32.88,18.31,15.32,2.99,35.94,721.04,213.99,216.88,2.49,2.57,113.57,0.61,44.0,20.68,39.82,9.48,0.3,9.88,0.0,2.99,0.0,6.59,102.62,42.11,43.13,103.67,72.55,102.62,30.07,19.25,ALL OTHER CROPS,CORN BU/A,140.0,50.0,25.0,45.0,0.0,16.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64755,7/13/2020,7/13/2020,5.0,5.7,6.6,0.42,NONE,2.1,29.2,39.46,9.99,81.31,27.91,1.56,29.47,20.87,18.77,2.1,58.07,614.07,228.56,135.48,2.62,3.78,100.51,0.8,47.63,16.36,35.91,8.14,0.34,9.99,0.0,2.1,0.0,5.55,94.7,48.0,69.68,114.17,66.98,94.7,27.72,17.74,ALL OTHER CROPS,CORN BU/A,140.0,55.0,20.0,20.0,0.0,15.0,0.0,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56073,4/1/2024,4/3/2024,501439.0,5.4,6.0,0.18,NONE,4.4,115.64,28.59,18.0,234.8,6.81,6.2,13.01,28.12,23.2,4.92,80.33,437.87,146.09,130.61,12.77,0.55,10.01,0.17,98.1,9.24,49.25,13.04,1.7,18.0,0.0,4.92,0.0,16.13,74.42,64.67,96.4,155.35,16.34,74.42,58.08,60.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,30% Legume 70% Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56073,4/1/2024,4/3/2024,501440.0,5.4,6.1,0.21,NONE,4.2,140.83,34.74,19.7,252.14,10.8,5.92,16.72,27.04,22.7,4.34,72.4,435.72,168.34,77.27,17.11,0.49,9.75,0.17,121.5,9.6,55.85,12.8,1.31,19.7,0.0,4.34,0.0,18.75,87.42,62.2,86.88,162.97,25.92,87.42,61.5,63.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,30% Legume 70% Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56073,4/1/2024,4/3/2024,501441.0,5.3,6.1,0.17,NONE,3.3,116.2,28.98,17.21,222.12,8.89,4.42,13.31,30.48,26.2,4.28,72.59,328.35,182.16,101.77,13.61,0.3,10.88,0.36,121.94,11.04,52.31,12.91,1.46,17.21,0.0,4.28,0.0,15.85,73.25,70.11,87.11,151.98,21.34,73.25,51.91,53.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,30% Legume 70% Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56073,4/1/2024,4/3/2024,501442.0,5.0,6.0,0.26,NONE,4.2,137.31,42.55,19.16,223.05,19.0,7.73,26.73,30.44,26.6,3.84,100.38,340.62,175.44,92.92,20.22,0.46,16.68,0.22,115.15,9.83,61.56,11.64,0.82,19.16,0.0,3.84,0.0,17.82,110.15,70.01,120.45,206.98,45.6,110.15,64.55,67.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,30% Legume 70% Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56073,4/1/2024,4/3/2024,501443.0,5.4,6.2,0.2,NONE,3.8,141.33,26.36,16.56,199.48,7.31,3.97,11.28,16.17,13.2,2.97,62.87,361.97,141.51,83.54,12.71,0.59,12.28,0.19,112.97,8.1,70.85,12.05,1.69,16.56,0.0,2.97,0.0,17.42,66.81,37.19,75.44,124.31,17.54,66.81,49.27,51.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,30% Legume 70% Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56073,4/1/2024,4/3/2024,501444.0,5.6,6.3,0.13,NONE,3.7,148.72,27.2,20.04,253.01,3.35,7.04,10.39,49.93,46.0,3.93,105.12,404.34,178.55,110.21,10.76,0.59,7.82,0.32,127.64,11.82,58.78,12.62,2.8,20.04,0.0,3.93,0.0,19.46,73.04,114.84,126.15,191.86,8.04,73.04,65.0,67.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,30% Legume 70% Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56073,4/1/2024,4/3/2024,501445.0,5.3,6.2,0.25,NONE,4.0,106.59,39.16,20.61,230.86,14.1,5.16,19.26,21.95,18.7,3.25,87.34,405.41,144.15,96.46,20.74,0.51,15.85,0.2,121.9,10.17,46.17,11.2,1.11,20.61,0.0,3.25,0.0,15.56,95.7,50.48,104.81,175.15,33.84,95.7,61.86,64.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,30% Legume 70% Grass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
