"Sample Type","Lab No","Test ID","Date Recd","Date Rept","Beginning Depth","Ending Depth","Soil pH 1:1","Wdrf Buffer","1:1 Electrical Conductivity, mmho/cm","Excess Lime","Organic Matter, % LOI","Soil Respiration, ppm CO2-C","H2O Total Org. C, ppm C","H2O Total N, ppm N","H2O Org. N, ppm N","H3A Nitrate, ppm NO3-N","H3A Ammonium, ppm NH4-N","H3A Inorganic N, ppm N","H3A Total Phosphorus, ppm P","H3A Inorganic Phosphorus, ppm PO4-P","H3A Organic Phosphorus, ppm P","H3A Potassium, ppm K","H3A Calcium, ppm Ca","H3A Magnessium, ppm Mg","H3A Sodium, ppm Na","H3A Sulfur, ppm S","H3A Zinc, ppm Zn","H3A Iron, ppm Fe","H3A Manganese, ppm Mn","H3A Copper, ppm Cu","H3A Aluminum, ppm Al","Microbially Active C, %","H2O Org. C:Org. N ","H2O Org. N:H3A Inorg. N","Organic N Release, ppm N","Organic N Reserve, ppm N","Organic P Release, ppm P","Organic P Reserve, ppm P","Soil Health Score","Available N, lbs/A","Available P, lbs/A","Available K, lbs/A","Nutrient Value, $","Traditional Test N, lbs/A","Haney Test N, lbs/A","N Difference, lbs/A","N Savings, $","Cover Crop Mix","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Lime Rec 3"
"SOIL HEALTH","50001","N/A","10/12/2020","10/17/2020","0","12","8.4","","0.8","HIGH","0.6","6.8","126","19.1","9.3","6.7","2.7","9.4","16","13.5","2.7","58","2853","120","184","22.9","0.07","2.9","3.9","0.11","11.5","5.4","13.55","0.95","2.01","7.29","0.44","2.26","4.13","41.0","32.1","69.6","73.56","24.2","41.0","16.8","10.75","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50002","N/A","10/12/2020","10/17/2020","12","24","8.6","","0.7","HIGH","0.3","2.5","61","17.9","3.9","12.5","2.4","14.9","8","6.7","1.0","40","2941","120","207","29.0","0.02","1.9","2.2","0.11","8.2","4.1","15.78","0.27","0.63","3.21","0.13","0.90","1.85","55.9","15.8","48.1","65.97","45.0","55.9","10.9","6.97","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50003","N/A","10/12/2020","10/17/2020","24","36","8.6","","0.9","HIGH","0.4","3.2","55","15.2","2.7","11.5","1.9","13.4","4","3.7","0.4","33","3113","139","227","38.6","0.01","1.5","1.2","0.05","5.2","5.9","20.43","0.21","0.63","2.04","0.06","0.30","1.68","50.3","8.7","40.2","55.67","41.4","50.3","8.9","5.71","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50004","N/A","10/12/2020","10/17/2020","0","12","8.6","","0.7","HIGH","0.6","5.7","81","13.4","5.9","6.3","1.6","7.9","13","10.1","2.6","52","2847","124","208","25.3","0.02","2.4","3.4","0.09","10.8","7.0","13.71","0.80","1.66","4.26","0.55","2.06","2.79","34.5","24.5","62.6","62.96","22.8","34.5","11.8","7.54","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50005","N/A","10/12/2020","10/17/2020","12","24","8.3","","1.4","HIGH","0.7","4.4","56","33.2","5.5","27.9","1.3","29.2","3","2.3","0.3","27","3264","157","312","63.9","0.01","1.5","1.2","0.09","4.8","7.9","10.19","0.20","1.73","3.76","0.06","0.21","2.11","111.5","5.4","32.1","89.50","100.4","111.5","11.0","7.07","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50006","N/A","10/12/2020","10/17/2020","24","36","8.5","","1.2","HIGH","0.6","3.2","57","35.0","6.5","27.3","1.5","28.8","4","2.9","0.8","20","3109","176","338","33.7","0.01","1.3","1.2","0.04","5.2","5.6","8.82","0.23","1.45","5.01","0.13","0.62","2.11","108.8","7.0","23.4","84.06","98.3","108.8","10.5","6.71","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50007","N/A","10/12/2020","10/17/2020","0","12","8.6","","1.2","HIGH","0.7","9.0","99","30.9","8.3","22.3","2.3","24.6","14","11.0","3.1","52","2886","126","241","39.9","0.02","2.2","4.2","0.12","10.3","9.1","11.94","0.37","3.01","5.25","0.84","2.22","3.70","99.4","27.2","62.8","105.66","80.3","99.4","19.1","12.24","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50008","N/A","10/12/2020","10/17/2020","12","24","8.5","","1.3","HIGH","0.8","4.0","56","44.0","7.0","37.6","1.0","38.6","3","2.9","0.5","22","3140","160","349","65.1","0.01","1.5","1.4","0.10","6.1","7.2","8.03","0.19","1.99","4.98","0.12","0.42","2.22","146.2","6.9","26.1","109.28","135.4","146.2","10.8","6.92","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50009","N/A","10/12/2020","10/17/2020","24","36","8.5","","1.2","HIGH","0.8","3.8","48","33.2","6.1","26.0","1.2","27.2","3","2.5","0.2","19","3142","178","370","33.3","0.01","1.4","1.0","0.05","5.9","8.0","7.80","0.23","1.95","4.16","0.05","0.16","1.94","104.9","5.9","22.2","80.58","93.6","104.9","11.3","7.26","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","50010","N/A","10/12/2020","10/17/2020","0","12","8.5","","1.0","HIGH","0.6","5.3","74","15.6","4.6","9.4","1.7","11.1","10","8.0","2.3","47","2861","125","221","28.0","0.02","2.5","3.6","0.11","11.6","7.2","15.97","0.42","1.33","3.31","0.49","1.80","2.48","44.6","19.5","56.9","64.61","33.7","44.6","10.9","6.95","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
