"Zip","Date Recd","Date Rept","Lab No","1:1 Soil pH","WDRF Buffer","1:1 Soluble Salt","Excess Lime","Organic Matter","CO2-C","H2O Total N","H2O Organic N","H2O Total Organic C","H3A Nitrate","H3A Ammonium","H3A Inorganic Nitrogen","H3A Total Phosphorus","H3A Inorganic Phosphorus","H3A Organic Phosphorus","H3A ICAP Potassium","H3A ICAP Calcium","H3A ICAP Aluminum","H3A ICAP Iron","H3A ICAP Sulfur","H3A ICAP Zinc","H3A ICAP Manganese","H3A ICAP Copper","H3A ICAP Magnesium","H3A ICAP Sodium","% MAC","Organic C:N","Organic N:Inorganic N","Organic N Release","Organic N Reserve","Organic P Release","Organic P Reserve","Soil Health Calculation","Available N","Available P","Available K","Nutrient Value","Traditional N","Haney Test N","Lbs N Difference","N savings","Cover crop mix","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Lime Rec 3","Beta Glucosidase ppm pNP g-1 soil h-1","Urease ppm NH4-N g-1 soil h-1","Phosphodiesterase ppm pNP g-1 soil h-1","Dehydrogenase ppm INTF g-1 soil h-1","Fluorescein Diacetate Hydrolysis ppm fluorescein g-1 soil 3h-1","Beta Glucosaminidase ppm pNP g-1 soil h-1","Phosphomonoesterases (Acid) ppm pNP g-1 soil h-1","Phosphomonoesterases (Alkaline) ppm pNP g-1 soil h-1","Arylsulfatase ppm pNP g-1 soil h-1","Enzyme Soil Moisture %","Beginning Depth","Ending Depth"
"85040","6/25/2021","6/28/2021","4836","8.1","","0.68","HIGH","2.5","13.27","26.8","9.48","89.1","16.7","1.22","17.92","52.45","48.1","4.35","34.75","2599.2","26.48","10.09","52.02","0.19","1.01","0.28","224.97","261.9","14.9","9.4","0.55","5.65","3.83","1.94","2.4","4.06","42.43","115.1","41.7","92.89","30.06","42.43","12.37","7.91","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"85040","6/25/2021","6/28/2021","4837","8.2","","1.01","HIGH","1.5","9.17","15.1","6.47","78.7","7.02","1.6","8.62","20.58","18.5","2.08","22.52","2798.63","21.29","5.4","70.21","0.05","0.83","0.2","221.88","343.22","11.65","12.16","0.75","3.01","3.46","0.73","1.35","3.14","20.94","44.22","27.02","44.16","12.64","20.94","8.31","5.32","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12"
"85040","6/25/2021","6/28/2021","4838","8.2","","1.64","HIGH","1.0","4.61","7.4","3.67","39.89","2.81","1.19","4","9.27","7.97","1.3","14.57","2964.28","19.59","2.9","110.54","0.01","0.65","0.15","241.4","488.21","11.57","10.87","0.98","1.7","1.97","0.45","0.85","1.63","20.51","19.37","17.49","29.43","10.12","20.51","10.4","6.65","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","24"
"85040","6/25/2021","6/28/2021","4839","8.2","","1.9","HIGH","0.9","3.17","5.2","2.73","28.6","0.96","1.22","2.17","8.47","7.29","1.18","28.84","2980.22","23.55","3.46","204.6","0.02","0.74","0.05","245.97","713.22","11.07","10.48","1.11","1.21","1.52","0.39","0.79","1.16","12.18","17.67","34.61","31.99","3.44","12.18","8.75","5.6","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","36"
"85040","6/25/2021","6/28/2021","4840","8.3","","0.68","HIGH","2.2","15.79","13.6","6.51","80.25","5.89","0.9","6.79","38.21","34.9","3.31","25.73","2563.95","27.48","7","51.24","0.13","1.37","0.17","230.28","283.15","19.68","12.33","0.92","5.12","1.38","1.95","1.36","3.83","21.45","84.76","30.87","62.22","10.6","21.45","10.85","6.94","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"85040","6/25/2021","6/28/2021","4841","8.2","","1.39","HIGH","1.9","14","10.2","6.13","76.73","2.84","1.12","3.96","27.54","25.9","1.64","19.63","2773.46","22.24","5.19","114.88","0.04","1.17","0.12","241.74","448.05","18.24","12.52","1.51","4.47","1.66","0.9","0.74","3.55","15.18","61.63","23.55","45.53","5.11","15.18","10.07","6.44","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12"
"85040","6/25/2021","6/28/2021","4842","8.2","","1.54","HIGH","0.9","5.98","7.6","4.49","44.93","1.44","1.38","2.82","9.82","8.47","1.35","27.02","2946.96","17.9","2.59","113.32","0.01","0.91","0.08","238.93","466.79","13.31","10.01","1.44","2.39","2.1","0.54","0.81","1.95","18.76","20.72","32.43","36.3","5.18","18.76","13.57","8.69","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","24"
"85040","6/25/2021","6/28/2021","4843","8.3","","1.47","HIGH","0.8","4.03","6.2","3.08","34.78","1.48","1.47","2.95","11.83","9.96","1.87","41.27","2888.61","21.93","4.12","114.46","0.02","0.87","0.05","234.94","466.23","11.6","11.29","0.99","1.43","1.65","0.65","1.22","1.41","15.76","24.4","49.53","44.37","5.33","15.76","10.44","6.68","70% Legume 30% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","36"
"85040","6/25/2021","6/28/2021","4844","8.2","","0.88","HIGH","3.0","13.16","25.3","11.6","126.08","12.6","0.8","13.4","40.78","38.7","2.08","28.08","2518.03","27.99","9.55","56.97","0.13","1.33","0.23","236.34","341.85","10.44","10.87","0.85","4.84","6.76","0.65","1.43","5","32.83","90.5","33.69","73.16","22.68","32.83","10.15","6.5","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"85040","6/25/2021","6/28/2021","4845","8.2","","1.14","HIGH","2.3","14.14","19.2","8.26","87.93","9.69","1.07","10.76","22.85","20","2.85","18.06","2658.81","24.31","6.28","81.41","0.04","1.13","0.2","247.47","426.32","16.08","10.65","0.76","5.31","2.95","1.38","1.48","4","28.93","49.17","21.67","48.53","17.44","28.93","11.49","7.35","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12"
