Metric,Count,Outliers,Outlier_%,Min,Q1,Median,Q3,Max
Soil pH 1:1,396,35,8.84,4.9,8.1,8.5,8.6,9.0
"1:1 Electrical Conductivity, mmho/cm",396,8,2.02,0.07,0.7,0.9,1.3,3.1
"Organic Matter, % LOI",396,60,15.15,0.3,0.6,0.7,0.8,7.5
"Soil Respiration, ppm CO2-C",396,51,12.88,2.5,5.2,7.3,11.0,233.46
"H3A Nitrate, ppm NO3-N",396,22,5.56,0.1,5.3,12.5,30.825,177.0
"H3A Total Phosphorus, ppm P",396,20,5.05,2.0,4.0,10.129999999999999,19.0,625.3
"H3A Potassium, ppm K",396,27,6.82,8.0,29.0,48.0,60.0,305.37
"H3A Calcium, ppm Ca",396,50,12.63,135.0,2764.5,2941.5,3076.0,3379.0
Soil Health Score,396,56,14.14,1.09,1.84,2.24,2.8175,22.64
1:1 Soil pH,1600,0,0.0,4.6,6.5,7.2,8.2,9.7
