,Soil pH 1:1,"1:1 Electrical Conductivity, mmho/cm","Organic Matter, % LOI","Soil Respiration, ppm CO2-C","H3A Nitrate, ppm NO3-N","H3A Ammonium, ppm NH4-N","H3A Total Phosphorus, ppm P","H3A Potassium, ppm K","H3A Calcium, ppm Ca","H3A Magnesium, ppm Mg",Soil Health Score,"Available N, lbs/A","Available P, lbs/A","Available K, lbs/A",1:1 Soil pH,1:1 Soluble Salt,Organic Matter,CO2-C,H3A Nitrate,H3A Ammonium,H3A Total Phosphorus,H3A ICAP Potassium,H3A ICAP Calcium,H3A ICAP Magnesium,Soil Health Calculation,Available N,Available P,Available K
Soil pH 1:1,1.0,0.37365698047504947,-0.11975461281526696,-0.1410230716946147,-0.03981718818736647,-0.03055008445402104,0.0719652588803683,-0.02942652803215186,0.6937528536982595,0.46853771524340926,-0.1536909548681741,0.010660810255691896,0.07522611202813573,-0.03128616513581582,,,,,,,,,,,,,,
"1:1 Electrical Conductivity, mmho/cm",0.37365698047504947,1.0,-0.12049205907173142,-0.13498904677034598,0.4499700826975085,0.01850034616609354,0.08580948984143354,0.11769301203060177,0.5759367611816056,0.469930998471135,-0.10809364249704595,0.36874735147222154,0.08757105887863403,0.12304773883409884,,,,,,,,,,,,,,
"Organic Matter, % LOI",-0.11975461281526696,-0.12049205907173142,1.0,0.6520151396180126,0.030359519128734278,0.0447125394534678,0.1087981642585288,0.17293332830982974,-0.0524758596968476,0.31900380576919635,0.5554000943621565,0.12008346586319052,0.12165548043190529,0.16997476649070933,,,,,,,,,,,,,,
"Soil Respiration, ppm CO2-C",-0.1410230716946147,-0.13498904677034598,0.6520151396180126,1.0,-0.03311097585895811,0.057936715856332706,0.03623921846928964,0.14010360299645477,-0.10524938425778875,0.1822690776532823,0.7161391445918284,0.11621773077914412,0.04937435924749137,0.13710228328000842,,,,,,,,,,,,,,
"H3A Nitrate, ppm NO3-N",-0.03981718818736647,0.4499700826975085,0.030359519128734278,-0.03311097585895811,1.0,0.27428101543678163,0.18384664722088612,0.23909595027929434,0.186219574778126,0.11176698784174786,-0.020720127393434453,0.849456405537351,0.18609592445685905,0.2414701238243089,,,,,,,,,,,,,,
"H3A Ammonium, ppm NH4-N",-0.03055008445402104,0.01850034616609354,0.0447125394534678,0.057936715856332706,0.27428101543678163,1.0,0.058082869916217375,0.04943584341724795,-0.07270216298159908,-0.0036467386203721955,0.1301375295429232,0.5153561110166961,0.053345815034376354,0.04860350383351216,,,,,,,,,,,,,,
"H3A Total Phosphorus, ppm P",0.0719652588803683,0.08580948984143354,0.1087981642585288,0.03623921846928964,0.18384664722088612,0.058082869916217375,1.0,0.43942956183501786,-0.02374845063441764,0.10897877928477942,0.14225068714443398,0.1393381231050415,0.9934594077934246,0.44046686072834806,,,,,,,,,,,,,,
"H3A Potassium, ppm K",-0.02942652803215186,0.11769301203060177,0.17293332830982974,0.14010360299645477,0.23909595027929434,0.04943584341724795,0.43942956183501786,1.0,-0.07309185288253331,0.09380345708692805,0.14168001679497533,0.14538334475726805,0.4527010781573734,0.9999994546358554,,,,,,,,,,,,,,
"H3A Calcium, ppm Ca",0.6937528536982595,0.5759367611816056,-0.0524758596968476,-0.10524938425778875,0.186219574778126,-0.07270216298159908,-0.02374845063441764,-0.07309185288253331,1.0,0.4637650551991368,-0.1144836147043345,0.1667531602413377,-0.027906599798813093,-0.07310487095559204,,,,,,,,,,,,,,
"H3A Magnesium, ppm Mg",0.46853771524340926,0.469930998471135,0.31900380576919635,0.1822690776532823,0.11176698784174786,-0.0036467386203721955,0.10897877928477942,0.09380345708692805,0.4637650551991368,1.0,0.14527064633891051,0.14951695017507635,0.11570910462307214,0.09379276539944777,,,,,,,,,,,,,,
Soil Health Score,-0.1536909548681741,-0.10809364249704595,0.5554000943621565,0.7161391445918284,-0.020720127393434453,0.1301375295429232,0.14225068714443398,0.14168001679497533,-0.1144836147043345,0.14527064633891051,1.0,0.09371174232680651,0.11362094189072133,0.1416847866241087,,,,,,,,,,,,,,
"Available N, lbs/A",0.010660810255691896,0.36874735147222154,0.12008346586319052,0.11621773077914412,0.849456405537351,0.5153561110166961,0.1393381231050415,0.14538334475726805,0.1667531602413377,0.14951695017507635,0.09371174232680651,1.0,0.14887348060098488,0.14536655316908462,,,,,,,,,,,,,,
"Available P, lbs/A",0.07522611202813573,0.08757105887863403,0.12165548043190529,0.04937435924749137,0.18609592445685905,0.053345815034376354,0.9934594077934246,0.4527010781573734,-0.027906599798813093,0.11570910462307214,0.11362094189072133,0.14887348060098488,1.0,0.4526900570714061,,,,,,,,,,,,,,
"Available K, lbs/A",-0.03128616513581582,0.12304773883409884,0.16997476649070933,0.13710228328000842,0.2414701238243089,0.04860350383351216,0.44046686072834806,0.9999994546358554,-0.07310487095559204,0.09379276539944777,0.1416847866241087,0.14536655316908462,0.4526900570714061,1.0,,,,,,,,,,,,,,
1:1 Soil pH,,,,,,,,,,,,,,,1.0,0.18401385758824823,-0.09800829238830151,-0.17219090328675413,-0.02901311552468193,-0.05978261070063202,0.13748565991622586,0.13567575405930954,0.667302492151362,0.5004290160546998,-0.1290848610871113,-0.056743769729817616,0.1369570211095449,0.1356705654647492
1:1 Soluble Salt,,,,,,,,,,,,,,,0.18401385758824823,1.0,0.041388606114460026,-0.03743105028276868,0.26565264802190525,0.1030185719989085,0.11721364010309322,0.15054567201342964,0.34091934816398245,0.4550806585984145,0.025503309177063827,0.2157600296176885,0.10730313303429348,0.15053260420901748
Organic Matter,,,,,,,,,,,,,,,-0.09800829238830151,0.041388606114460026,1.0,0.53074983482633,0.13534719607834106,0.15094770659297208,0.10750884934614874,0.12211161757948388,-0.012738639965141352,0.15837111311541346,0.5075107346997125,0.26421545957168036,0.09708837357689074,0.12211407271080274
CO2-C,,,,,,,,,,,,,,,-0.17219090328675413,-0.03743105028276868,0.53074983482633,1.0,0.0162160633961637,0.06927540958502347,0.021770896969841816,0.0752106339586861,-0.10700999938664252,0.024176543901673137,0.7646592272168297,0.16456821496325227,0.029345387106616532,0.07521671474718236
H3A Nitrate,,,,,,,,,,,,,,,-0.02901311552468193,0.26565264802190525,0.13534719607834106,0.0162160633961637,1.0,0.2523327924347777,0.2502272017851276,0.15454697729498715,0.10489908555137552,0.1840150678535287,0.049782124724952595,0.7775309537080494,0.25176044110486934,0.1545358593264481
H3A Ammonium,,,,,,,,,,,,,,,-0.05978261070063202,0.1030185719989085,0.15094770659297208,0.06927540958502347,0.2523327924347777,1.0,0.24030642824440338,0.4269371041890368,-0.0396872746278341,0.03811009311015379,0.2787693877783592,0.6407306025844556,0.15581752087323378,0.4269384104298165
H3A Total Phosphorus,,,,,,,,,,,,,,,0.13748565991622586,0.11721364010309322,0.10750884934614874,0.021770896969841816,0.2502272017851276,0.24030642824440338,1.0,0.4084844000323052,-0.0075026282814306755,0.13840027351944253,0.1737005166142125,0.33853030770052256,0.9856890897192798,0.4084633463064887
H3A ICAP Potassium,,,,,,,,,,,,,,,0.13567575405930954,0.15054567201342964,0.12211161757948388,0.0752106339586861,0.15454697729498715,0.4269371041890368,0.4084844000323052,1.0,0.07934425277904222,0.19985810552004324,0.3959883075028473,0.42311731854976947,0.342057093826369,0.9999998422485141
H3A ICAP Calcium,,,,,,,,,,,,,,,0.667302492151362,0.34091934816398245,-0.012738639965141352,-0.10700999938664252,0.10489908555137552,-0.0396872746278341,-0.0075026282814306755,0.07934425277904222,1.0,0.5103773729864974,-0.070800207754301,0.04692478334401895,-0.013618635766354676,0.07934428007785721
H3A ICAP Magnesium,,,,,,,,,,,,,,,0.5004290160546998,0.4550806585984145,0.15837111311541346,0.024176543901673137,0.1840150678535287,0.03811009311015379,0.13840027351944253,0.19985810552004324,0.5103773729864974,1.0,0.10098251245643242,0.1841082184743254,0.13134722581815306,0.19985176712519723
Soil Health Calculation,,,,,,,,,,,,,,,-0.1290848610871113,0.025503309177063827,0.5075107346997125,0.7646592272168297,0.049782124724952595,0.2787693877783592,0.1737005166142125,0.3959883075028473,-0.070800207754301,0.10098251245643242,1.0,0.3180037364283492,0.12678509741921684,0.3959935809837425
Available N,,,,,,,,,,,,,,,-0.056743769729817616,0.2157600296176885,0.26421545957168036,0.16456821496325227,0.7775309537080494,0.6407306025844556,0.33853030770052256,0.42311731854976947,0.04692478334401895,0.1841082184743254,0.3180037364283492,1.0,0.2964747113613701,0.42310229823971945
Available P,,,,,,,,,,,,,,,0.1369570211095449,0.10730313303429348,0.09708837357689074,0.029345387106616532,0.25176044110486934,0.15581752087323378,0.9856890897192798,0.342057093826369,-0.013618635766354676,0.13134722581815306,0.12678509741921684,0.2964747113613701,1.0,0.3420352114856859
