"Sample Type","Lab No","Test ID","Date Recd","Date Rept","Beginning Depth","Ending Depth","Soil pH 1:1","Wdrf Buffer","1:1 Electrical Conductivity, mmho/cm","Excess Lime","Organic Matter, % LOI","Soil Respiration, ppm CO2-C","H2O Total Org. C, ppm C","H2O Total N, ppm N","H2O Org. N, ppm N","H3A Nitrate, ppm NO3-N","H3A Ammonium, ppm NH4-N","H3A Inorganic N, ppm N","H3A Total Phosphorus, ppm P","H3A Inorganic Phosphorus, ppm PO4-P","H3A Organic Phosphorus, ppm P","H3A Potassium, ppm K","H3A Calcium, ppm Ca","H3A Magnesium, ppm Mg","H3A Sodium, ppm Na","H3A Sulfur, ppm S","H3A Zinc, ppm Zn","H3A Iron, ppm Fe","H3A Manganese, ppm Mn","H3A Copper, ppm Cu","H3A Aluminum, ppm Al","Microbially Active C, %","H2O Org. C:Org. N ","H2O Org. N:H3A Inorg. N","Organic N Release, ppm N","Organic N Reserve, ppm N","Organic P Release, ppm P","Organic P Reserve, ppm P","Soil Health Score","Available N, lbs/A","Available P, lbs/A","Available K, lbs/A","Nutrient Value, $","Traditional Test N, lbs/A","Haney Test N, lbs/A","N Difference, lbs/A","N Savings, $","Cover crop mix","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Lime Rec 3"
"SOIL HEALTH","6130","N/A","7/30/2021","8/3/2021","0","6","7.1","","0.31","NONE","1.2","24.41","128.94","26.6","11.36","13.9","1.85","15.75","14.27","9.16","5.11","64.17","303.2","116.04","34.09","18.58","1.05","51.05","16.45","0.19","87.6","18.93","11.35","0.75","8.6","2.76","2.9","2.21","6.16","43.83","27.74","77.01","77.37","25.02","43.83","18.81","12.04","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","6132","N/A","7/30/2021","8/3/2021","0","6","6.4","7","0.3","NONE","1.1","15.71","109.13","25.4","8.92","15.2","1.69","16.89","13.81","9.1","4.71","41.17","176.61","89.46","26.89","15.02","0.93","52.26","15.19","0.15","86.33","14.4","12.23","0.54","5.14","3.78","2.04","2.68","4.65","39.65","25.61","49.41","60.07","27.36","39.65","12.29","7.86","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","6134","N/A","7/30/2021","8/3/2021","0","6","6.6","","0.24","NONE","1.1","19.18","128.05","26.4","13.21","11.9","2.14","14.04","24.4","17.7","6.7","114.61","265.16","101.26","23.16","10.94","2.15","80.97","20.3","0.2","122.8","14.98","9.69","1","7.91","5.3","3.01","3.69","5.8","39.52","47.63","137.53","112.63","21.42","39.52","18.1","11.58","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","6136","N/A","7/30/2021","8/3/2021","0","6","6.6","","0.32","NONE","1.9","26.97","162.01","37.7","16.03","20.5","2.07","22.57","19.38","13.3","6.08","118.63","380.94","156.06","56.67","23.82","0.81","95.22","17.29","0.28","167.53","16.64","10.11","0.74","10.67","5.36","3.03","3.04","7.54","59.84","37.57","142.36","124.13","36.9","59.84","22.94","14.68","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","6138","N/A","7/30/2021","8/3/2021","0","6","6.3","6.8","0.25","NONE","1.5","28.32","141.22","19.1","12.28","5.47","2.35","7.82","19.89","14.1","5.79","131.34","331.38","60.49","8.87","3.78","0.4","104.3","10.67","0.3","236.71","20.05","11.5","1.8","9.85","2.43","3.48","2.31","6.88","31.81","40.44","157.6","114.93","9.85","31.81","21.96","14.05","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","6140","N/A","7/30/2021","8/3/2021","0","6","6","6.7","0.23","NONE","1.6","27.6","110.97","14.4","8.05","5.09","2.39","7.48","12.47","8.38","4.09","76.37","307.37","66.86","7.71","3.29","0.35","105.49","6.67","0.28","270.81","24.87","13.78","1.27","8.01","0.04","3.05","1.04","5.78","27.88","26.29","91.64","73.92","9.16","27.88","18.72","11.98","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","6142","N/A","7/30/2021","8/3/2021","0","6","5.6","6.8","0.56","NONE","1.3","26.13","95.85","110","11.6","78.5","30.9","109.4","10.3","6.65","3.65","131.05","335.85","67.29","9.14","5.37","0.41","114.02","14.18","0.27","191.99","27.27","8.26","0.12","11.6","0","2.99","0.67","5.69","217.8","22.17","157.25","226.67","141.3","217.8","76.5","48.96","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","6144","N/A","7/30/2021","8/3/2021","0","6","5.4","6.8","0.45","NONE","1.1","9.93","87.43","57.2","8.45","46.7","3.46","50.16","24.89","28.7","-3.81","234.44","256.67","55.4","7.88","8.78","0.64","125.52","22.73","0.37","213.5","11.36","10.35","0.17","3.84","4.61","-3.81","0","3.59","97.2","57.24","281.33","225.2","84.06","97.2","13.14","8.41","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","6146","N/A","7/30/2021","8/3/2021","0","6","4.5","6.1","0.7","NONE","1.8","18.03","102.76","128.5","13.5","89.3","35.6","124.9","13.55","8.46","5.09","106.9","230.1","50.27","12.24","11.84","0.37","137.6","18.6","0.24","249.74","17.55","7.61","0.12","9.48","4.02","2.68","2.41","5.21","241.88","25.62","128.27","228.93","160.74","241.88","81.14","51.93","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","6148","N/A","7/30/2021","8/3/2021","0","6","4.8","6","0.31","NONE","2.4","26.26","114.18","54.52","10.95","40.7","5.33","46.03","12.13","7.37","4.76","69.82","331.13","59.61","9.31","7.42","0.37","145.24","15.5","0.31","228.41","23","10.43","0.25","10.08","0.88","3.29","1.48","6.01","100.99","24.51","83.78","116.08","73.26","100.99","27.73","17.75","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
