"MODUS ID's","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H12","H13","H14","S-PH-1:1.02.07","S-BPH-MWB.02","S-EC-1:1.03","S-CACO3-1NHCL.24","S-SOM-LOI.15"
"Sample Type","Lab No","Test ID","Date Recd","Date Rept","Cust ID","Name","Company","Grower","Field ID","Sample ID 1","Sample ID 2","Sample ID 3","Beginning Depth","Ending Depth","Soil pH 1:1","Wdrf Buffer","1:1 Electrical Conductivity, mmho/cm","Excess Lime","Organic Matter, % LOI"
"SOIL HEALTH","1467","N/A","3/30/2022","4/1/2022","117","TRISH JACKSON","PRAIRIECHAR INC.","Hunnicutt Farms ","hunn0005-1","3/28/2022","","","0","6","5.9","6.6","0.18","NONE","3.1"
"SOIL HEALTH","1468","N/A","3/30/2022","4/1/2022","117","TRISH JACKSON","PRAIRIECHAR INC.","Hunnicutt Farms","hunn0005-2","3/28/2022","","","0","6","5.8","6.5","0.19","NONE","3.1"
"SOIL HEALTH","1469","N/A","3/30/2022","4/1/2022","117","TRISH JACKSON","PRAIRIECHAR INC.","Hunnicutt Farms ","hunn0009-1","3/28/2022","","","0","6","7","","0.23","NONE","3.1"
"SOIL HEALTH","1470","N/A","3/30/2022","4/1/2022","117","TRISH JACKSON","PRAIRIECHAR INC.","Hunnicutt Farms","hunn0009-2","3/28/2022","","","0","6","6.5","6.8","0.18","NONE","3.2"
"SOIL HEALTH","1471","N/A","3/30/2022","4/1/2022","117","TRISH JACKSON","PRAIRIECHAR INC.","Hunnicutt Farms ","hunn0009-3","3/28/2022","","","0","6","6.3","6.8","0.25","NONE","3.6"
"SOIL HEALTH","1472","N/A","3/30/2022","4/1/2022","117","TRISH JACKSON","PRAIRIECHAR INC.","Hunnicutt Farms","hunn0011a-1","3/28/2022","","","0","6","6","6.5","0.15","NONE","3.4"
"SOIL HEALTH","1473","N/A","3/30/2022","4/1/2022","117","TRISH JACKSON","PRAIRIECHAR INC.","Hunnicutt Farms ","hunn0011a-2","3/28/2022","","","0","6","6","6.4","0.18","NONE","3.5"
"SOIL HEALTH","1474","N/A","3/30/2022","4/1/2022","117","TRISH JACKSON","PRAIRIECHAR INC.","Hunnicutt Farms","hunn0011b-1","3/28/2022","","","0","6","5.5","6.4","0.2","NONE","3.2"
"SOIL HEALTH","1475","N/A","3/30/2022","4/1/2022","117","TRISH JACKSON","PRAIRIECHAR INC.","Hunnicutt Farms ","hunn0011b-2","3/28/2022","","","0","6","5.9","6.5","0.2","NONE","3.4"
"SOIL HEALTH","1476","N/A","3/30/2022","4/1/2022","117","TRISH JACKSON","PRAIRIECHAR INC.","Hunnicutt Farms","hunn0011c-1","3/28/2022","","","0","6","5.8","6.5","0.18","NONE","3"
"SOIL HEALTH","1477","N/A","3/30/2022","4/1/2022","117","TRISH JACKSON","PRAIRIECHAR INC.","Hunnicutt Farms ","hunn0011c-2","3/28/2022","","","0","6","6","6.4","0.13","NONE","3.5"
"SOIL HEALTH","1478","N/A","3/30/2022","4/1/2022","117","TRISH JACKSON","PRAIRIECHAR INC.","Hunnicutt Farms","hunn0011d-1","3/28/2022","","","0","6","5.5","6.1","0.12","NONE","3.3"
"SOIL HEALTH","1479","N/A","3/30/2022","4/1/2022","117","TRISH JACKSON","PRAIRIECHAR INC.","Hunnicutt Farms ","hunn0011d-2","3/28/2022","","","0","6","5.9","6.5","0.15","NONE","3"
"SOIL HEALTH","1480","N/A","3/30/2022","4/1/2022","117","TRISH JACKSON","PRAIRIECHAR INC.","Hunnicutt Farms","hunn0015-1","3/28/2022","","","0","6","6.4","6.8","0.15","NONE","3.2"
"SOIL HEALTH","1481","N/A","3/30/2022","4/1/2022","117","TRISH JACKSON","PRAIRIECHAR INC.","Hunnicutt Farms ","hunn0015-2","3/28/2022","","","0","6","6","6.6","0.18","NONE","3.1"
