"Sample Type","Lab No","Test ID","Date Recd","Date Rept","Beginning Depth","Ending Depth","Soil pH 1:1","Wdrf Buffer","1:1 Electrical Conductivity, mmho/cm","Excess Lime","Organic Matter, % LOI","Soil Respiration, ppm CO2-C","H2O Total Org. C, ppm C","H2O Total N, ppm N","H2O Org. N, ppm N","H3A Nitrate, ppm NO3-N","H3A Ammonium, ppm NH4-N","H3A Inorganic N, ppm N","H3A Total Phosphorus, ppm P","H3A Inorganic Phosphorus, ppm PO4-P","H3A Organic Phosphorus, ppm P","H3A Potassium, ppm K","H3A Calcium, ppm Ca","H3A Magnessium, ppm Mg","H3A Sodium, ppm Na","H3A Sulfur, ppm S","H3A Zinc, ppm Zn","H3A Iron, ppm Fe","H3A Manganese, ppm Mn","H3A Copper, ppm Cu","H3A Aluminum, ppm Al","Microbially Active C, %","H2O Org. C:Org. N ","H2O Org. N:H3A Inorg. N","Organic N Release, ppm N","Organic N Reserve, ppm N","Organic P Release, ppm P","Organic P Reserve, ppm P","Soil Health Score","Available N, lbs/A","Available P, lbs/A","Available K, lbs/A","Nutrient Value, $","Traditional Test N, lbs/A","Haney Test N, lbs/A","N Difference, lbs/A","N Savings, $","Cover Crop Mix","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Lime Rec 3"
"SOIL","39978","N/A","10/19/2023","10/23/2023","0","6","7.6","","0.23","NONE","1.7","16.6","176.38","30","16.81","11.7","1.31","13","160.2","141","19.2","61","984","132.2","32","31.23","9.63","40","11","0.2","65","9.4","10.5","1.23","6.33","10.5","5.4","13.8","6.9","34.8","336.8","73.4","227.8","21.1","34.8","13.8","14.3","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL","39979","N/A","10/19/2023","10/23/2023","0","6","7.6","","0.23","NONE","2.2","24.49","202.68","34.5","17.77","14.6","1.66","16.26","160.93","154","6.93","77.13","1224.2","162.34","33.92","28.61","9.14","38.57","6.35","0.23","75.69","12.08","11.41","1.06","8.59","9.18","2.51","4.42","8.28","44.72","359.98","92.56","258.38","26.28","44.72","18.44","19.18","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL","39980","N/A","10/19/2023","10/23/2023","0","6","7.8","","0.2","NONE","2.1","18.12","196.62","27.78","17.21","8.85","1.4","10.25","224.41","199","25.41","74.5","1195.73","160.27","31.88","33.89","10.84","40.53","8.43","0.22","67.19","9.22","11.43","1.63","6.34","10.86","7.02","18.38","7.47","29.87","473.86","89.4","293.74","15.93","29.87","13.94","14.49","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL","39981","N/A","10/19/2023","10/23/2023","0","6","7.7","","0.26","NONE","2.5","30.13","222.57","45.74","21.05","22.5","2.11","24.61","248.51","227","21.51","112","1437.93","180.25","27.11","14.08","8","31.81","5.74","0.14","53.73","13.54","10.58","0.85","11.4","9.65","8.74","12.77","9.57","64.81","542.19","134.4","384.01","40.5","64.81","24.31","25.29","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL","39982","N/A","10/19/2023","10/23/2023","0","6","8","","0.18","NONE","1.8","21.2","169.42","28.87","17.9","9.49","1.46","10.95","168.04","152","16.04","60.48","1148.82","122.87","22.24","11.36","6.8","28.55","6.95","0.13","52.48","12.51","9.47","1.63","8.96","8.94","6.02","10.02","7.3","35.83","363.45","72.57","240.74","17.08","35.83","18.75","19.5","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL","39983","N/A","10/19/2023","10/23/2023","0","6","7.5","","0.31","NONE","2.5","19.74","197.19","63.36","21.82","39.6","1.72","41.32","257.71","233","24.71","96.62","1495.31","163.54","24.54","13.1","11.93","36.25","6.01","0.21","52.86","10.01","9.04","0.53","8.74","13.08","7.42","17.29","8.1","90.1","552.97","115.95","406.05","71.28","90.1","18.82","19.58","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL","39984","N/A","10/19/2023","10/23/2023","0","6","7.5","","0.33","NONE","2.8","18.91","175.48","31.2","15.77","13","2.45","15.45","503.66","351","152.66","64.37","2151.88","172.35","51.41","69.3","16.7","31.05","4.57","0.25","39.06","10.77","11.13","1.02","6.8","8.97","49.34","103.32","6.98","40.04","920.79","77.24","503.82","23.4","40.04","16.64","17.31","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL","39985","N/A","10/19/2023","10/23/2023","0","6","7.7","","0.42","NONE","3.2","20.3","160.79","26.4","14.83","9.14","1.79","10.93","389.3","300","89.3","82.66","2120.24","209.78","52.08","149.09","12.45","25.08","5.51","0.2","36.77","12.62","10.84","1.28","7.49","7.34","33.82","55.48","6.73","33.15","767.78","99.19","437.25","16.45","33.15","16.7","17.37","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL","39986","N/A","10/19/2023","10/23/2023","0","6","7.5","","0.67","NONE","2.8","17.36","172.48","28.31","17.03","9.4","1.43","10.83","376.08","302","74.08","63.15","2437.71","172.46","53.75","280.1","17.78","40.35","5.31","0.25","34.92","10.07","10.13","1.51","6.86","10.17","22.37","51.71","6.89","31.84","746.06","75.78","414.19","16.92","31.84","14.92","15.52","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL","39987","N/A","10/19/2023","10/23/2023","0","6","7.5","","0.42","NONE","3.1","23.85","177.84","31.41","17.86","11.5","1.63","13.13","416.87","310","106.87","86.63","2056.34","199.07","53.67","118.7","16.56","46.77","5.52","0.23","36.41","13.41","9.96","1.32","9.58","8.28","43","63.87","7.73","40.88","811.9","103.95","467.97","20.7","40.88","20.18","20.99","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL","39988","N/A","10/19/2023","10/23/2023","0","6","7.6","","0.62","NONE","3.1","19.52","169.62","28.59","17.16","9.87","1.52","11.39","314.83","277","37.83","69.2","2137.06","171.41","65.13","224.16","9.79","24.47","4.77","0.16","37.63","11.51","9.89","1.5","7.9","9.26","13.06","24.77","7.06","34.72","667.14","83.04","384.51","17.77","34.72","16.95","17.63","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL","39989","N/A","10/19/2023","10/23/2023","0","6","7.7","","0.72","NONE","2.7","18.76","159.25","32.05","17.02","13.4","1.65","15.05","321.99","269","52.99","52.75","2270.12","146.99","89.7","283.9","10.01","20.88","5.23","0.16","38.26","11.78","9.36","1.13","8.02","9","18.72","34.27","6.76","41.52","661.76","63.3","379.25","24.12","41.52","17.4","18.1","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL","39990","N/A","10/19/2023","10/23/2023","0","6","7.5","","0.12","NONE","1.8","19.71","182.95","25.09","18.09","5.1","1.58","6.68","202.36","194","8.36","88.23","985.41","163.19","23.61","14.04","13.6","53.21","8.39","0.23","61.54","10.77","10.11","2.58","7.8","10.29","2.7","5.66","7.44","26.06","452.42","105.88","288.15","9.18","26.06","16.88","17.55","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL","39991","N/A","10/19/2023","10/23/2023","0","6","7.6","","0.15","NONE","2.1","20.73","182.34","23.7","17.48","4.03","2.22","6.25","213.51","190","23.51","92.98","1069.16","170.54","21.97","13.15","11.56","47.45","7.83","0.2","64.8","11.37","10.43","2.81","7.95","9.53","8.02","15.49","7.47","25.56","455.44","111.57","291.87","7.25","25.56","18.3","19.04","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
