"Sample Type","Lab ID","Test ID","Date Recd","Date Rept","Beginning Depth","Ending Depth","1:1 pH","Woodruff Buffer pH","1:1 Electrical Conductivity, mmho/cm","Excess Lime","Organic Matter, % LOI","Soil Respiration, ppm CO2-C","H2O Total Org. C, ppm C","H2O Total N, ppm N","H2O Org. N, ppm N","H3A Nitrate, ppm NO3-N","H3A Ammonium, ppm NH4-N","H3A Inorganic N, ppm N","H3A Total Phosphorus, ppm P","H3A Inorganic Phosphorus, ppm PO4-P","H3A Organic Phosphorus, ppm P","H3A Potassium, ppm K","H3A Calcium, ppm Ca","H3A Magnessium, ppm Mg","H3A Sodium, ppm Na","H3A Sulfur, ppm S","H3A Zinc, ppm Zn","H3A Iron, ppm Fe","H3A Manganese, ppm Mn","H3A Copper, ppm Cu","H3A Aluminum, ppm Al","Microbially Active C, %","H2O Org. C:Org. N ","H2O Org. N:H3A Inorg. N","Organic N Release, ppm N","Organic N Reserve, ppm N","Organic P Release, ppm P","Organic P Reserve, ppm P","Soil Health Score","Available N, lbs/A","Available P, lbs/A","Available K, lbs/A","Nutrient Value, $","Traditional Test N, lbs/A","Haney Test N, lbs/A","N Difference, lbs/A","N Savings, $","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Lime Rec 3"
"SOIL HEALTH","144","100","6/16/2020","6/16/2020","0","2","5.9","6.6","0.66","NONE","2","126","122.38","50.84","14.3","29.07","7.47","36.54","33.07","27.85","5.22","204.69","527.36","95.03","11.71","1.76","1.46","194.9","48.99","0.43","349.9","102.96","8.56","0.39","14.3","0","5.22","0","14.38","30.5","76.06","245.63","172","17.44","30.5","13.06","8.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","145","100","6/16/2020","6/16/2020","0","2","5.3","6.6","0.84","NONE","1.7","61.1","124.26","78.63","12.89","41.45","24.29","65.74","42.7","34.76","7.94","212.43","380.7","88.04","11.48","1.56","1.31","225.7","38.22","0.43","420.82","49.17","9.64","0.2","12.89","0","7.94","0","9.88","47.18","98.21","254.92","195.95","24.87","47.18","22.31","14.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","146","100","6/16/2020","6/16/2020","0","2","5.7","6.5","0.86","NONE","1.8","125.6","116.46","80.08","10.16","46.39","23.53","69.92","46.66","41.46","5.2","189.64","489.54","89.63","12.1","1.79","1.21","175.95","37.1","0.42","364.88","107.85","11.46","0.15","10.16","0","5.2","0","13.81","48.05","107.32","227.57","186.39","27.83","48.05","20.21","12.94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","147","100","6/16/2020","6/16/2020","0","2","5.5","6.4","0.84","NONE","1.6","75.8","112.34","70.71","13.25","41.33","16.13","57.46","43.24","37.31","5.93","163.59","413.71","78.68","11.26","1.51","1.14","176.33","33.23","0.44","373.04","67.47","8.48","0.23","13.25","0","5.93","0","11.15","42.43","99.45","196.31","164.09","24.8","42.43","17.63","11.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","148","100","6/16/2020","6/16/2020","0","2","5.6","6.4","0.74","NONE","1.7","100.9","110.29","67.16","8.6","35.08","23.48","58.56","40.93","34.45","6.48","156.53","531.94","99.59","11.21","2.01","1.19","156.24","40.22","0.41","333.47","91.49","12.82","0.15","8.6","0","6.48","0","11.47","40.3","94.14","187.84","156.42","21.05","40.3","19.25","12.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","149","100","6/16/2020","6/16/2020","0","2","5.4","6.5","0.6","NONE","1.7","53.7","102.25","53.2","9.15","28.67","15.38","44.05","32.61","28.57","4.04","139.19","388.65","81.74","10.71","1.31","0.84","178.07","30.2","0.41","371.56","52.52","11.17","0.21","9.15","0","4.04","0","8.33","31.92","75","167.03","133.19","17.2","31.92","14.72","9.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","150","100","6/16/2020","6/16/2020","0","2","5.4","6.4","0.74","NONE","1.8","54.6","124.34","85.66","12.24","46.74","26.68","73.42","48.39","40.25","8.14","164.91","377.39","79.94","10.01","1.96","1.07","186.1","35.47","0.44","378.99","43.91","10.16","0.17","12.24","0","8.14","0","9.17","51.4","111.3","197.89","175.25","28.04","51.4","23.35","14.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","151","100","6/16/2020","6/16/2020","0","2","5.8","6.5","0.7","NONE","1.7","64.4","113.14","60.27","13.91","30.07","16.29","46.36","33.57","29.71","3.86","164.36","441.38","93.67","11.16","1.45","1.34","190.51","36.34","0.5","399.17","56.92","8.13","0.3","13.91","0","3.86","0","10.09","36.16","77.21","197.23","151.87","18.04","36.16","18.12","11.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","152","100","6/16/2020","6/16/2020","0","2","5.2","6.2","0.74","NONE","1.7","52.4","124.16","65.18","13.26","34.81","17.11","51.92","39.93","33.05","6.88","179.6","362.93","77.82","11.72","1.34","1.28","194.19","34.93","0.49","391.65","42.2","9.36","0.26","13.26","0","6.88","0","9.05","39.11","91.84","215.52","168.61","20.89","39.11","18.22","11.66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL HEALTH","153","100","6/16/2020","6/16/2020","0","2","5.9","6.6","0.78","NONE","2","93.4","99.91","58.24","9.82","38.03","10.39","48.42","37.13","31.06","6.07","144.68","615.59","115.82","10.71","1.72","1.03","135.52","29.5","0.53","354.1","93.48","10.17","0.2","9.82","0","6.07","0","12.32","34.94","85.4","173.62","142.48","22.82","34.94","12.13","7.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
