"Zip","Date Recd","Date Rept","Lab No","H1","1:1 Soil pH","WDRF Buffer","1:1 Soluble Salt","Excess Lime","Organic Matter","CO2-C","H2O Total N","H2O Organic N","H2O Total Organic C","H3A Nitrate","H3A Ammonium","H3A Inorganic Nitrogen","H3A Total Phosphorus","H3A Inorganic Phosphorus","H3A Organic Phosphorus","H3A ICAP Potassium","H3A ICAP Calcium","H3A ICAP Aluminum","H3A ICAP Iron","H3A ICAP Sulfur","H3A ICAP Zinc","H3A ICAP Manganese","H3A ICAP Copper","H3A ICAP Magnesium","H3A ICAP Sodium","% MAC","Organic C:N","Organic N:Inorganic N","Organic N Release","Organic N Reserve","Organic P Release","Organic P Reserve","Soil Health Calculation","Available N","Available P","Available K","Nutrient Value","Traditional N","Haney Test N","Lbs N Difference","N savings","Cover crop mix","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Lime Rec 3","Beta Glucosidase ppm pNP g-1 soil h-1","Urease ppm NH4-N g-1 soil h-1","Phosphodiesterase ppm pNP g-1 soil h-1","Dehydrogenase ppm INTF g-1 soil h-1","Fluorescein Diacetate Hydrolysis ppm fluorescein g-1 soil 3h-1","Beta Glucosaminidase ppm pNP g-1 soil h-1","Phosphomonoesterases (Acid) ppm pNP g-1 soil h-1","Phosphomonoesterases (Alkaline) ppm pNP g-1 soil h-1","Arylsulfatase ppm pNP g-1 soil h-1","Enzyme Soil Moisture %","Beginning Depth","Ending Depth"
"22202","12/21/2023","12/27/2023","56293","","6.6","","0.28","NONE","4.3","194.43","31.45","20.42","228.29","9.85","2.12","11.97","252.42","232","20.42","163.44","1095.91","139.03","171.26","14.03","9.76","2.25","1.14","184.33","10.56","85.17","11.18","1.85","20.42","0","20.42","0","22.81","58.31","580.58","196.13","425.77","17.73","58.31","40.58","42.2","20% Legume 80% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"22202","12/21/2023","12/27/2023","56294","","6.9","","0.16","NONE","3.1","124.47","24.73","19.06","235.48","4.27","1.74","6.01","52.4","46.7","5.7","99.87","938.95","131.78","148.27","10.16","5.93","2.25","0.5","147.37","13.24","52.86","12.35","3.36","19.06","0","5.7","0","16.99","45.13","120.52","119.84","162.29","7.69","45.13","37.44","38.94","30% Legume 70% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"22202","12/21/2023","12/27/2023","56295","","7.1","","0.17","NONE","3.7","150.55","24.23","18.89","243.62","3.49","2.83","6.32","30.66","21.7","8.96","54.9","960.06","158.47","73.06","7.33","0.81","0.97","0.55","169.79","15.17","61.8","12.9","3.54","18.89","0","8.96","0","19.31","45.37","70.52","65.88","112.57","6.28","45.37","39.09","40.65","30% Legume 70% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"22202","12/21/2023","12/27/2023","56296","","6.3","6.6","0.21","NONE","4.1","138.06","28.08","17.53","234.55","8.83","3.08","11.91","39.88","32","7.88","80.64","876.7","184.76","80.1","11.82","1.42","1.31","0.49","156.13","12.09","58.86","13.38","1.66","17.53","0","7.88","0","17.95","53","91.73","96.76","145.7","15.89","53","37.11","38.59","30% Legume 70% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"22202","12/21/2023","12/27/2023","56297","","6.6","","0.20","NONE","2.4","109.67","18.55","13.67","170.3","3.88","1.97","5.85","14.21","8.82","5.39","79.46","636.78","139.99","96.48","6.66","0.98","3.21","0.49","124.06","12.97","64.4","12.46","2.8","13.67","0","5.39","0","13.91","35.13","32.69","95.36","99.25","6.98","35.13","28.15","29.27","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"22202","12/21/2023","12/27/2023","56298","","7.5","","0.20","HIGH","2.1","28.08","17.33","11.64","136.11","4.31","1.38","5.69","26.08","21","5.08","109.44","1013.36","122.87","64.34","4.9","0.98","10.48","0.41","153.15","11.93","20.63","11.69","2.05","9.61","2.04","3.14","1.94","6.69","27.53","55.53","131.33","119.84","7.76","27.53","19.78","20.57","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"22202","12/21/2023","12/27/2023","56515","","6.5","6.8","0.18","NONE","2.0","84.4","14.4","9.1","90.92","4.33","0.88","5.21","19.99","13.5","6.49","130.4","452.79","104.8","97.55","6.29","1.72","11.73","0.61","88.92","11.48","92.84","9.99","1.72","9.1","0","6.49","0","11.17","25.75","45.98","156.48","126.17","7.79","25.75","17.96","18.68","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"22202","12/21/2023","12/27/2023","56516","","7.4","","0.20","NONE","2.9","100.96","20.57","11.82","142.23","7.8","1.21","9.01","8.33","4.98","3.35","35.76","1023.25","122.81","67.12","4.45","0.81","9.38","0.25","96.46","13.33","70.99","12.03","1.35","11.82","0","3.35","0","12.44","37.5","19.16","42.92","69.27","14.04","37.5","23.46","24.39","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"22202","12/21/2023","12/27/2023","56517","","6.5","6.7","0.15","NONE","3.7","97.26","30.28","18.41","199.83","10.3","2.01","12.31","148.18","130","18.18","35.07","945.84","151.07","72.14","5.79","5.06","4.04","0.44","138.36","21.05","48.67","10.85","1.55","18.41","0","18.18","0","15.56","55.3","340.82","42.09","235.34","18.54","55.3","36.76","38.24","30% Legume 70% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"22202","12/21/2023","12/27/2023","56518","","7.1","","0.19","NONE","3.1","98.15","25.76","17.5","178.05","6.9","2.11","9.01","8.38","4.82","3.56","33.59","897.07","126.94","58.78","3.85","1.21","2.58","0.24","151.88","14.41","55.13","10.17","2.12","17.5","0","3.56","0","15.13","47.72","19.27","40.31","78.65","12.42","47.72","35.3","36.71","30% Legume 70% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
