"Zip","Date Recd","Date Rept","Lab No","1:1 Soil pH","WDRF Buffer","1:1 Soluble Salt","Excess Lime","Organic Matter","CO2-C","H2O Total N","H2O Organic N","H2O Total Organic C","H3A Nitrate","H3A Ammonium","H3A Inorganic Nitrogen","H3A Total Phosphorus","H3A Inorganic Phosphorus","H3A Organic Phosphorus","H3A ICAP Potassium","H3A ICAP Calcium","H3A ICAP Aluminum","H3A ICAP Iron","H3A ICAP Sulfur","H3A ICAP Zinc","H3A ICAP Manganese","H3A ICAP Copper","H3A ICAP Magnesium","H3A ICAP Sodium","% MAC","Organic C:N","Organic N:Inorganic N","Organic N Release","Organic N Reserve","Organic P Release","Organic P Reserve","Soil Health Calculation","Available N","Available P","Available K","Nutrient Value","Traditional N","Haney Test N","Lbs N Difference","N savings","Cover crop mix","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Lime Rec 3","Beta Glucosidase ppm pNP g-1 soil h-1","Urease ppm NH4-N g-1 soil h-1","Phosphodiesterase ppm pNP g-1 soil h-1","Dehydrogenase ppm INTF g-1 soil h-1","Fluorescein Diacetate Hydrolysis ppm fluorescein g-1 soil 3h-1","Beta Glucosaminidase ppm pNP g-1 soil h-1","Phosphomonoesterases (Acid) ppm pNP g-1 soil h-1","Phosphomonoesterases (Alkaline) ppm pNP g-1 soil h-1","Arylsulfatase ppm pNP g-1 soil h-1","Enzyme Soil Moisture %","Beginning Depth","Ending Depth"
"75098","4/12/2023","4/14/2023","7376","6.7","","0.10","NONE","3.9","124.69","28.96","18.43","229.44","9.19","1.32","10.51","9.72","6.71","3.01","33.27","630.51","151.12","49.82","5.94","0.33","2.4","0.29","185.35","22.76","54.34","12.45","1.75","18.43","0","3.01","0","16.82","69.45","22.36","39.92","102.47","22.06","69.45","47.39","49.29","30% Legume 70% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","8"
"75098","4/12/2023","4/14/2023","7377","7.3","","0.08","NONE","3.6","39.2","26.32","19.82","258.22","4.71","0.92","5.63","88.77","80.7","8.07","142.03","738.24","143.91","95.3","6.92","0.96","2.29","0.29","141.45","21.88","15.18","13.03","3.05","12.03","7.78","3.68","4.39","11.07","42.39","194.06","170.44","218.58","11.3","42.39","31.09","32.33","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","8"
"75098","4/12/2023","4/14/2023","7378","7.0","","0.07","NONE","3.5","28.71","19.48","14.98","183.59","3.18","0.53","3.71","11.9","9.48","2.42","30.4","685.04","137.37","58.63","2.9","0.38","3.87","0.21","148.83","20.47","15.64","12.25","3.33","9.37","5.61","1.14","1.29","8.04","31.39","24.42","36.48","62.12","7.63","31.39","23.76","24.71","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","8"
"75098","4/12/2023","4/14/2023","7379","7.0","","0.08","NONE","3.8","37.89","24.27","17.24","220.85","5.74","0.7","6.44","4.97","2.4","2.57","23.51","703.73","149.09","42.24","4.06","0.27","1.65","0.18","117.22","21.89","17.15","12.81","2.45","11.83","5.41","1.32","1.25","9.93","43.84","8.57","28.21","63.64","13.78","43.84","30.07","31.27","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","8"
"75098","4/12/2023","4/14/2023","7380","6.3","6.5","0.07","NONE","4.5","123.26","22.68","16.7","226.3","4.51","1.21","5.72","7","4.08","2.92","47.3","527.8","150.59","61.56","5.38","0.48","3.08","0.21","137.17","21.58","54.47","13.55","2.79","16.7","0","2.92","0","16.47","53.8","16.11","56.76","91.74","10.82","53.8","42.97","44.69","30% Legume 70% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","8"
"75098","4/12/2023","4/14/2023","7381","7.6","","0.10","NONE","3.1","89.84","18.21","11.8","132.74","4.91","0.57","5.48","19.58","16.7","2.88","25.79","1059.51","104.27","34.6","17.18","0.6","6.29","0.13","97.22","21.84","67.68","11.25","1.84","11.8","0","2.88","0","12.82","41.47","45.04","30.94","79.32","11.78","41.47","29.68","30.87","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","8"
"75098","4/12/2023","4/14/2023","7382","6.7","","0.08","NONE","3.2","42.33","20.28","14.02","180.14","4.88","1.34","6.22","11.79","9.02","2.77","35.28","578.33","164.28","55.67","5.97","0.42","2.69","0.24","149.84","25.59","23.5","12.85","2.24","13.17","0.84","1.95","0.82","9.24","46.55","25.23","42.33","81.18","11.71","46.55","34.84","36.23","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","8"
"75098","4/12/2023","4/14/2023","7383","7.8","","0.15","NONE","3.6","86.5","26.18","17.4","221.28","6.97","1.31","8.28","50.93","46.3","4.63","35.99","912.2","147.44","41.86","5.76","0.93","2.74","0.27","181.14","24.16","39.09","12.72","1.98","17.4","0","4.63","0","14.82","61.62","117.14","43.18","139.57","16.73","61.62","44.9","46.69","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","8"
"75098","4/12/2023","4/14/2023","7384","7.2","","0.07","NONE","4.3","138.23","26.99","18.43","230.19","6.57","1.81","8.38","39.38","35.8","3.58","36.26","820.42","96.27","82.36","4.92","0.92","3.07","0.22","169.9","21.31","60.05","12.49","2.15","18.43","0","3.58","0","17.97","64.35","90.57","43.51","130.35","15.77","64.35","48.59","50.53","30% Legume 70% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","8"
"75098","4/12/2023","4/14/2023","7385","7.0","","0.10","NONE","4.3","95.8","29","16.78","192.81","10.6","1.32","11.92","17.5","14.3","3.2","34.28","688.73","120.91","40.18","5.72","2.64","3.55","0.19","140","25.09","49.69","11.49","1.37","16.78","0","3.2","0","15.11","68.88","40.25","41.14","110.72","25.44","68.88","43.44","45.18","30% Legume 70% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","8"
