"Zip","Date Recd","Date Rept","Lab No","1:1 Soil pH","WDRF Buffer","1:1 Soluble Salt","Excess Lime","Organic Matter","CO2-C","H2O Total N","H2O Organic N","H2O Total Organic C","H3A Nitrate","H3A Ammonium","H3A Inorganic Nitrogen","H3A Total Phosphorus","H3A Inorganic Phosphorus","H3A Organic Phosphorus","H3A ICAP Potassium","H3A ICAP Calcium","H3A ICAP Aluminum","H3A ICAP Iron","H3A ICAP Sulfur","H3A ICAP Zinc","H3A ICAP Manganese","H3A ICAP Copper","H3A ICAP Magnesium","H3A ICAP Sodium","% MAC","Organic C:N","Organic N:Inorganic N","Organic N Release","Organic N Reserve","Organic P Release","Organic P Reserve","Soil Health Calculation","Available N","Available P","Available K","Nutrient Value","Traditional N","Haney Test N","Lbs N Difference","N savings","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Lime Rec 3","Beta Glucosidase ppm pNP g-1 soil h-1","Urease ppm NH4-N g-1 soil h-1","Phosphodiesterase ppm pNP g-1 soil h-1","Dehydrogenase ppm INTF g-1 soil h-1","Fluorescein Diacetate Hydrolysis ppm fluorescein g-1 soil 3h-1","Beta Glucosaminidase ppm pNP g-1 soil h-1","Phosphomonoesterases (Acid) ppm pNP g-1 soil h-1","Phosphomonoesterases (Alkaline) ppm pNP g-1 soil h-1","Arylsulfatase ppm pNP g-1 soil h-1","Enzyme Soil Moisture %","Beginning Depth","Ending Depth","Cover crop mix"
"83303","9/26/2022","9/28/2022","503501","6.4","6.9","0.06","NONE","2","31.84","22","16.04","182.15","2.85","3.11","5.96","20.49","18.6","1.89","78.37","504.27","170.59","79.72","5.99","1.53","14.73","0.31","108.62","20.13","17.48","11.36","2.69","11.21","4.82","0.99","0.9","8.43","20.61","45.06","94.05","89.18","3.42","20.61","17.19","17.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4","50% Legume 50% Grass"
"83303","9/26/2022","9/28/2022","503502","6.6","","0.06","NONE","2.2","21.08","20.87","15.8","186.7","2.29","2.78","5.07","22.29","20.3","1.99","79.27","579.77","162.61","66.96","5.35","0.72","16.89","0.28","112.1","15.16","11.29","11.82","3.12","7.14","8.66","0.67","1.32","7.42","14.65","48.24","95.13","84.99","2.75","14.65","11.9","12.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4","50% Legume 50% Grass"
"83303","9/26/2022","9/28/2022","503503","6.7","","0.08","NONE","2.4","33.11","23.48","16.84","196.62","3.54","3.1","6.64","29.88","27.7","2.18","89.53","628.82","155.78","57.36","6.82","0.77","22.44","0.26","115.23","16.88","16.84","11.67","2.54","11.35","5.5","1.1","1.08","8.93","21.58","66.25","107.44","106.64","4.25","21.58","17.33","18.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4","50% Legume 50% Grass"
"83303","9/26/2022","9/28/2022","503504","6.5","6.8","0.06","NONE","1.9","22.51","20.03","14.16","170.21","3.14","2.73","5.87","15.78","13.7","2.08","60.91","436.05","168.98","79.26","5.93","3.41","14.04","0.34","113.84","63.25","13.22","12.02","2.41","7.49","6.67","0.83","1.25","7.07","16.03","33.41","73.09","68.59","3.77","16.03","12.27","12.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","8","50% Legume 50% Grass"
"83303","9/26/2022","9/28/2022","503505","6.7","","0.11","NONE","1.8","18.6","21.19","14.9","169.55","3.07","3.22","6.29","16.22","14.3","1.92","48.98","539.79","180.27","60.66","4.16","0.51","12.56","0.3","120.96","18.38","10.97","11.38","2.37","6.54","8.36","0.63","1.29","6.74","15.39","34.35","58.78","61.2","3.68","15.39","11.71","12.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","8","50% Legume 50% Grass"
"83303","9/26/2022","9/28/2022","503506","6.5","7","0.06","NONE","2","16.52","22.12","15.37","166.1","4.12","2.63","6.75","27.02","24.9","2.12","55.37","684.82","164.42","49.21","4.15","0.53","17.36","0.22","116.48","18.69","9.95","10.81","2.28","6.11","9.25","0.63","1.49","6.51","15.44","58.73","66.44","76.29","4.94","15.44","10.49","10.91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","8","50% Legume 50% Grass"
"83303","9/26/2022","9/28/2022","503507","7.1","","0.13","NONE","1.4","29.12","19.1","13.47","169.72","2.7","2.93","5.63","8.86","6.96","1.9","30.39","287.62","187.44","72.69","10.08","0.93","6.87","0.37","124.44","278.31","17.16","12.6","2.39","9.24","4.22","0.98","0.92","7.65","17.85","18.25","36.46","45.19","3.24","17.85","14.61","15.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","12","50% Legume 50% Grass"
"83303","9/26/2022","9/28/2022","503508","6.6","","0.05","NONE","1.3","27.26","15.09","9.29","120.6","2.48","3.32","5.8","15.83","14.1","1.73","34.73","474.68","169.64","52.88","3.34","0.32","5.91","0.34","119.1","18.89","22.6","12.98","1.6","8.4","0.89","1.17","0.56","6.07","17.04","35.13","41.67","54.72","2.98","17.04","14.07","14.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","12","50% Legume 50% Grass"
"83303","9/26/2022","9/28/2022","503509","7.6","","0.13","HIGH","1.4","19.62","16.38","10.56","131.66","3.24","2.58","5.82","36.11","34.6","1.51","31.47","913.56","136.75","24.61","5.81","0.26","4.49","0.16","137.38","22.48","14.9","12.47","1.81","6.3","4.26","0.68","0.84","5.65","14.54","81.14","37.76","71.32","3.89","14.54","10.65","11.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","12","50% Legume 50% Grass"
"83303","9/26/2022","9/28/2022","503510","6.6","7","0.11","NONE","2.1","33.17","26.73","12.37","117.01","12","2.36","14.36","21.91","20.5","1.41","70.44","511.94","147.32","64.58","3.69","0.57","10.72","0.29","111.81","16.75","28.35","9.46","0.86","12.37","0","1.2","0.21","6.89","32.08","49.9","84.52","98.58","14.4","32.08","17.68","18.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","4","50% Legume 50% Grass"
