"Sample Type","Lab No","Test ID","Date Recd","Date Rept","Beginning Depth ","Ending Depth","Soil pH 1:1","Wdrf Buffer","1:1 Electrical Conductivity, mmho/cm","Excess Lime","Organic Matter, % LOI","1N KCl-Nitrate, ppm NO3-N","1N KCl-Nitrate, lbs/A N","M3-Phosphate, ppm PO4-P","M3-Sulfur, ppm S","NH4OAc-Potassium, ppm K ","NH4OAc-Calcium, ppm Ca ","NH4OAc-Magnesium, ppm Mg","NH4OAc-Sodium, ppm Na ","DTPA-Zinc, ppm Zn","DTPA-Iron, ppm Fe","DTPA-Manganese, ppm Mn ","DTPA-Copper, ppm Cu","H2O-Boron, ppm B","CaNO3-Chloride, ppm Cl","CEC, meq/100g","Base Saturation, %","Hydrogen, % Sat","Calcium, % Sat","Magnesium, % Sat","Potassium, % Sat","Sodium, % Sat","Total Organic Carbon, % C","Total Carbon, % C","Total Nitrogen, % N","Bulk Density, g/cm3","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Boron Rec 1","Chloride Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Boron Rec 2","Chloride Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Boron Rec 3","Chloride Rec 3","Lime Rec 3"
"SOIL","601644","N/A","10/7/2022","10/11/2022","0","6","6.3","6.5","0.17","NONE","4.7","1.6","3","200.1","14.2","107.3","972","200.50","22.32","1.19","144.87","11.29","0.49","0.87","","12.4","56","44","39","13","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL","601645","N/A","10/7/2022","10/11/2022","0","6","6.1","6.6","0.13","NONE","3.6","0.9","2","176.4","17.5","95.5","1077","174.17","22.26","0.56","127.42","10.36","0.25","0.92","","11.7","61","39","46","12","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
