"Zip","Date Recd","Date Rept","Lab No","1:1 Soil pH","WDRF Buffer","1:1 Soluble Salt","Excess Lime","Organic Matter","CO2-C","H2O Total N","H2O Organic N","H2O Total Organic C","H3A Nitrate","H3A Ammonium","H3A Inorganic Nitrogen","H3A Total Phosphorus","H3A Inorganic Phosphorus","H3A Organic Phosphorus","H3A ICAP Potassium","H3A ICAP Calcium","H3A ICAP Aluminum","H3A ICAP Iron","H3A ICAP Sulfur","H3A ICAP Zinc","H3A ICAP Manganese","H3A ICAP Copper","H3A ICAP Magnesium","H3A ICAP Sodium","% MAC","Organic C:N","Organic N:Inorganic N","Organic N Release","Organic N Reserve","Organic P Release","Organic P Reserve","Soil Health Calculation","Available N","Available P","Available K","Nutrient Value","Traditional N","Haney Test N","Lbs N Difference","N savings","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Lime Rec 3","Beta Glucosidase ppm pNP g-1 soil h-1","Urease ppm NH4-N g-1 soil h-1","Phosphodiesterase ppm pNP g-1 soil h-1","Dehydrogenase ppm INTF g-1 soil h-1","Fluorescein Diacetate Hydrolysis ppm fluorescein g-1 soil 3h-1","Beta Glucosaminidase ppm pNP g-1 soil h-1","Phosphomonoesterases (Acid) ppm pNP g-1 soil h-1","Phosphomonoesterases (Alkaline) ppm pNP g-1 soil h-1","Arylsulfatase ppm pNP g-1 soil h-1","Enzyme Soil Moisture %","Beginning Depth","Ending Depth"
"35968","7/7/2020","7/7/2020","200","6.7","","0.9","NONE","3.9","46.42","63.18","16.54","181.28","44.12","2.52","46.64","57.21","48.05","9.16","108.33","861.94","132.29","51.57","2.35","1.46","38.64","0.3","279.07","19.76","25.61","10.96","0.35","16.54","0","7.04","2.12","9.92","113.72","126.7","130","187.19","79.42","113.72","34.31","21.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"35968","7/7/2020","7/7/2020","201","7.8","","1.42","LOW","4.1","22.94","96.77","15.82","140.16","79.1","1.85","80.95","49.12","38.8","10.32","161.16","1868.31","65.56","17.57","10.82","0.71","44.01","0.24","541.89","26.53","16.37","8.86","0.2","10.36","5.46","5.07","5.25","6.68","164.35","100.89","193.39","241.23","142.38","164.35","21.97","14.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"35968","7/7/2020","7/7/2020","202","6.1","6.7","1.44","NONE","4.4","129.44","65.73","17.59","167.1","45.82","2.32","48.14","24.4","15.84","8.56","92.48","891.47","150.16","70.15","11.06","0.72","42.59","0.29","295.62","36.28","77.46","9.5","0.37","17.59","0","8.56","0","15.89","118.31","56.12","110.98","153.1","82.48","118.31","35.84","22.94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"35968","7/7/2020","7/7/2020","203","7.9","","4.26","HIGH","3.1","15.51","50.05","12.47","131.83","35.63","1.95","37.58","9.89","9.38","0.51","123.63","5553.13","18.97","4.69","80.77","0.63","2.32","0.17","788.53","134.62","11.77","10.57","0.33","5.87","6.6","0.18","0.33","5.43","78.21","21.99","148.36","132.81","64.13","78.21","14.08","9.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"35968","7/7/2020","7/7/2020","204","7.9","","0.76","NONE","2.6","40.98","28.69","12.93","142.42","13.64","2.12","15.76","52.12","44.91","7.21","184.72","895.2","181.38","126.06","2.69","0.81","38.83","0.37","241.91","16.26","28.77","11.01","0.82","12.93","0","6.22","0.99","8.24","51.64","117.61","221.66","189.75","24.55","51.64","27.09","17.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"35968","7/7/2020","7/7/2020","205","8.1","","1.08","HIGH","2.9","20.69","46.23","13.26","157.66","30.38","2.59","32.97","6.98","6.4","0.58","182.91","5684.84","26.04","5.59","14.84","0.47","2.62","0.17","325.96","15.06","13.13","11.89","0.4","6.96","6.3","0.23","0.35","6.55","71.88","15.25","219.49","161.69","54.68","71.88","17.19","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"35968","7/7/2020","7/7/2020","206","7.9","","1.54","HIGH","3.4","33.68","25.16","13.81","173.91","9.56","1.79","11.35","3.89","3.41","0.48","106.69","5718.31","13.59","5.8","27.92","0.53","1.46","0.16","278.76","12.78","19.37","12.59","1.22","10.7","3.11","0.28","0.2","8.23","39.69","8.48","128.03","92.72","17.21","39.69","22.48","14.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"35968","7/7/2020","7/7/2020","207","7.9","","0.72","HIGH","4.8","29.17","22.36","16.12","178.04","5.57","0.67","6.24","20.6","15.74","4.86","87.87","2176.14","63.94","21.18","5.42","0.52","32.61","0.2","446.63","16.26","16.38","11.04","2.58","10.56","5.56","2.39","2.47","8.09","30.25","41.7","105.44","88.34","10.03","30.25","20.22","12.94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"35968","7/7/2020","7/7/2020","208","8.1","","0.84","HIGH","4.5","50.04","37.21","22.41","224.94","13.61","1.19","14.8","12.26","5.39","6.87","296.04","3783.56","40.75","9.4","9.57","0.52","6.95","0.22","587.84","13.16","22.25","10.04","1.51","19.94","2.47","4.58","2.29","11.74","62.53","22.94","355.25","226.59","24.5","62.53","38.04","24.34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"35968","7/7/2020","7/7/2020","209","7.9","","0.88","LOW","5.2","65","32.02","19.1","178.15","12.19","0.73","12.92","17.14","11.29","5.85","60.39","1655.83","63.38","14.46","4.14","0.36","18.53","0.25","507.09","21.37","36.49","9.33","1.48","19.1","0","5.85","0","11.97","57.64","39.42","72.47","88.5","21.94","57.64","35.69","22.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
