"Zip","Date Recd","Date Rept","Lab No","1:1 Soil pH","WDRF Buffer","1:1 Soluble Salt","Excess Lime","Organic Matter","CO2-C","H2O Total N","H2O Organic N","H2O Total Organic C","H3A Nitrate","H3A Ammonium","H3A Inorganic Nitrogen","H3A Total Phosphorus","H3A Inorganic Phosphorus","H3A Organic Phosphorus","H3A ICAP Potassium","H3A ICAP Calcium","H3A ICAP Aluminum","H3A ICAP Iron","H3A ICAP Sulfur","H3A ICAP Zinc","H3A ICAP Manganese","H3A ICAP Copper","H3A ICAP Magnesium","H3A ICAP Sodium","% MAC","Organic C:N","Organic N:Inorganic N","Organic N Release","Organic N Reserve","Organic P Release","Organic P Reserve","Soil Health Calculation","Available N","Available P","Available K","Nutrient Value","Traditional N","Haney Test N","Lbs N Difference","N savings","Cover Crop Mix","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Lime Rec 3","Beta Glucosidase ppm pNP g-1 soil h-1","Urease ppm NH4-N g-1 soil h-1","Phosphodiesterase ppm pNP g-1 soil h-1","Dehydrogenase ppm INTF g-1 soil h-1","Fluorescein Diacetate Hydrolysis ppm fluorescein g-1 soil 3h-1","Beta Glucosaminidase ppm pNP g-1 soil h-1","Phosphomonoesterases (Acid) ppm pNP g-1 soil h-1","Phosphomonoesterases (Alkaline) ppm pNP g-1 soil h-1","Arylsulfatase ppm pNP g-1 soil h-1","Enzyme Soil Moisture %","Beginning Depth","Ending Depth"
"68643","6/6/2023","6/8/2023","19541","7.2","","0.45","NONE","2.7","39.93","38.99","20.33","209.07","15.4","4.5","19.9","59.79","52.5","7.29","133.05","682.04","134.22","54.4","26.33","1.9","16.73","0.18","115.8","29.38","19.1","10.29","1.09","15.53","4.8","4.18","3.12","10.21","63.77","130.36","159.66","206.11","27.72","63.77","36.05","37.49","40% Legume 60% Grass","ALL OTHER CROPS","CORN BU/A","250","210","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"68643","6/6/2023","6/8/2023","19542","7.2","","0.40","NONE","2.0","22.8","27.89","14.22","146.25","11.3","3.51","14.81","34.12","28.7","5.42","67.07","692.56","153.22","52.06","24.23","0.75","12.16","0.2","108.28","21.65","15.59","10.29","1.04","8.86","5.35","2.53","2.88","6.63","42.61","71.84","80.49","117.61","20.34","42.61","22.27","23.16","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12"
"68643","6/6/2023","6/8/2023","19543","7.1","","0.17","NONE","3.3","29.03","39.11","14.69","174.41","22.5","3.38","25.88","119.07","111","8.07","136.21","696.92","131.94","57.51","13.95","2.95","7.39","0.24","144.2","23.89","16.65","11.87","0.6","9.78","4.91","4.03","4.04","7.86","64.19","264.56","163.46","270.19","40.5","64.19","23.69","24.64","50% Legume 50% Grass","ALL OTHER CROPS","CORN BU/A","250","165","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"68643","6/6/2023","6/8/2023","19544","7.0","","0.16","NONE","3.0","34.53","35.67","14","163.82","19.8","3.28","23.08","62.64","56.5","6.14","66.61","707.83","150.11","53.63","14.53","1.17","4.82","0.16","133.23","29.06","21.08","11.7","0.65","11.8","2.19","3.88","2.26","8.13","62.79","138.88","79.93","169.15","35.64","62.79","27.15","28.23","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12"
"68643","6/6/2023","6/8/2023","19545","7.2","","0.18","NONE","4.2","56.62","46.86","26.14","292.2","18.1","3.94","22.04","244.03","231","13.03","257","876.5","159.92","60.87","14.48","4.2","5.71","0.19","191.21","43.86","19.38","11.18","1.26","20.26","5.88","7.58","5.46","14.12","76.14","548.73","308.39","485.8","32.58","76.14","43.56","45.31","40% Legume 60% Grass","ALL OTHER CROPS","CORN BU/A","250","160","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"68643","6/6/2023","6/8/2023","19546","6.7","","0.16","NONE","3.3","37.27","42.52","20.57","238.72","17.4","3.45","20.85","58.91","53.6","5.31","95.59","642.46","188.76","49.34","15.04","0.94","2.63","0.15","136.49","53.56","15.61","11.61","0.94","12.84","7.72","2.49","2.82","10.56","60.65","129","114.71","179.77","31.32","60.65","29.33","30.5","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12"
"68643","6/6/2023","6/8/2023","19547","6.8","","0.15","NONE","3.9","118.94","38.89","21.35","265.52","14.8","3.53","18.33","112.92","105","7.92","164.66","739.05","167.16","56.67","18.4","2.39","3.68","0.19","150","37.94","44.8","12.44","1.22","21.35","0","7.92","0","17.36","71.42","259.71","197.59","292.54","26.64","71.42","44.78","46.57","30% Legume 70% Grass","ALL OTHER CROPS","CORN BU/A","250","160","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"68643","6/6/2023","6/8/2023","19548","6.4","6.6","0.15","NONE","3.6","47.93","34.52","14.92","197.67","17.3","3.6","20.9","50.22","44.1","6.12","81.53","595.81","172.51","51.52","17.2","0.97","3.28","0.14","130.42","37.78","24.24","13.25","0.76","14.46","0.45","4.45","1.67","10.24","63.66","111.67","97.84","166.49","31.14","63.66","32.52","33.82","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12"
"68643","6/6/2023","6/8/2023","19549","6.0","6.4","0.20","NONE","3.5","34.25","39.81","17.11","219.76","20.6","3.48","24.08","23.77","18.5","5.27","129.55","592.81","135.62","69.9","16.67","0.72","6.22","0.15","96.7","36.25","15.59","12.85","0.75","10.67","6.44","2.46","2.8","9.53","62.54","48.21","155.46","164.96","37.08","62.54","25.46","26.48","50% Legume 50% Grass","SOYBEANS","CORN BU/A","250","120","45","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"68643","6/6/2023","6/8/2023","19550","6.3","6.7","0.19","NONE","3.0","42.22","39.87","12.77","164.44","24.9","3.5","28.4","22.05","16.7","5.35","54.55","609.48","118.58","60.1","12.89","0.47","4.11","0.16","105.79","29.67","25.67","12.88","0.47","12.77","0","4.12","1.23","8.79","74.1","47.89","65.46","131.82","44.82","74.1","29.28","30.45","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12"
