"Sample Type","Lab No","Test ID","Date Recd","Date Rept","Beginning Depth","Ending Depth","Soil pH 1:1","Wdrf Buffer","1:1 Electrical Conductivity, mmho/cm","Excess Lime","Organic Matter, % LOI","Soil Respiration, ppm CO2-C","H2O Total Org. C, ppm C","H2O Total N, ppm N","H2O Org. N, ppm N","H3A Nitrate, ppm NO3-N","H3A Ammonium, ppm NH4-N","H3A Inorganic N, ppm N","H3A Total Phosphorus, ppm P","H3A Inorganic Phosphorus, ppm PO4-P","H3A Organic Phosphorus, ppm P","H3A Potassium, ppm K","H3A Calcium, ppm Ca","H3A Magnesium, ppm Mg","H3A Sodium, ppm Na","H3A Sulfur, ppm S","H3A Zinc, ppm Zn","H3A Iron, ppm Fe","H3A Manganese, ppm Mn","H3A Copper, ppm Cu","H3A Aluminum, ppm Al","Microbially Active C, %","H2O Org. C:Org. N","H2O Org. N:H3A Inorg. N","Organic N Release, ppm N","Organic N Reserve, ppm N","Organic P Release, ppm P","Organic P Reserve, ppm P","Soil Health Score","Available N, lbs/A","Available P, lbs/A","Available K, lbs/A","Nutrient Value, $","Traditional Test N, lbs/A","Haney Test N, lbs/A","N Difference, lbs/A","N Savings, $","Cover Crop Mix","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Lime Rec 3"
"SOIL","53512","N/A","12/12/2023","12/14/2023","0","6","7.6","","0.09","HIGH","2.4","24.44","125.01","18.94","11.03","6.78","0.14","6.92","34.1","27.7","6.4","46.24","2181.48","184.66","14.97","5.66","1.11","36.26","3.08","0.08","76.29","19.55","11.33","1.39","8.62","2.4","3.75","2.64","6.05","27.98","72.34","55.49","90.12","12.2","27.98","15.78","16.41","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL","53513","N/A","12/12/2023","12/14/2023","0","6","5.8","6.3","0.08","NONE","3.3","55.66","180.29","21","13.36","6.65","1.08","7.73","13.61","8.68","4.93","42.74","1224.62","108.1","20.17","3.75","0.37","113.48","5.03","0.08","169.94","30.87","13.5","1.75","13.36","0","4.56","0.36","10.51","37.96","30.46","51.29","79.13","11.97","37.96","25.99","27.03","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL","53514","N/A","12/12/2023","12/14/2023","0","6","5.8","6.4","0.07","NONE","2.3","28.11","114.19","17.92","10.88","6.36","0.89","7.25","6.88","4.38","2.5","27.57","764.98","70.31","17.95","4.21","0.24","95.31","5.96","0.11","192.2","24.62","10.5","1.55","10.71","0.17","1.85","0.65","6.18","32.33","14.33","33.08","56.76","11.45","32.33","20.89","21.72","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL","53515","N/A","12/12/2023","12/14/2023","0","6","7.6","","0.15","NONE","3.7","34.4","154.96","16.3","11.27","3.56","0.59","4.15","38.12","36.9","1.22","36.69","3339.79","255.8","25.57","7.01","0.3","18.01","1.13","0.08","55.82","22.2","13.75","2.24","10.01","1.26","0.81","0.41","7.67","25.49","86.73","44.03","88.43","6.41","25.49","19.08","19.85","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL","53516","N/A","12/12/2023","12/14/2023","0","6","6.3","6.6","0.11","NONE","3.8","47.09","182.33","29.98","14.99","12.4","6.99","19.39","17.71","11.7","6.01","41.55","1400.71","138.51","20.44","6.07","0.44","72.3","1.79","0.09","147.69","25.83","12.16","1","14.99","0","4.66","1.35","9.86","61.89","37.63","49.86","106.6","22.32","61.89","39.57","41.15","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL","53517","N/A","12/12/2023","12/14/2023","0","6","6.2","6.4","0.17","NONE","4.6","40.87","183.34","27.01","14.4","11.1","1.33","12.43","29.71","22.9","6.81","48.71","1530.52","140.25","19.49","6.69","0.36","75.43","1.77","0.11","154.84","22.29","12.73","1.14","12.84","1.56","4.56","2.26","9.19","45.49","63.15","58.46","105.59","19.98","45.49","25.51","26.53","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL","53518","N/A","12/12/2023","12/14/2023","0","6","5.5","6","0.15","NONE","4.2","83.58","143.32","23.73","12.43","9.78","1.1","10.88","14.29","8.51","5.78","61.8","1138.66","119.89","17.44","3.85","0.52","87.5","2.81","0.12","173.95","58.31","11.53","1.1","12.43","0","5.78","0","12.47","41.96","32.86","74.15","95.83","17.6","41.96","24.35","25.33","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL","53519","N/A","12/12/2023","12/14/2023","0","6","6.2","6.7","0.1","NONE","3.7","73.98","186.77","20.8","14.09","5.58","1.45","7.03","11.23","6.58","4.65","42.49","1526.18","145.56","20.94","4.25","0.31","67.61","1.86","0.08","149","39.61","13.25","2.1","14.09","0","4.65","0","12.54","38.02","25.82","50.99","76.91","10.04","38.02","27.97","29.09","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL","53520","N/A","12/12/2023","12/14/2023","0","6","5.6","6.1","0.2","NONE","3.5","61.23","169.36","26.54","13.13","9.47","12.1","21.57","16.21","9.84","6.37","70.05","1134.42","116.92","21.15","4.78","0.4","107.18","3.58","0.1","190.01","36.15","12.9","0.98","13.13","0","6.37","0","10.82","62.46","37.29","84.06","124.14","17.05","62.46","45.41","47.23","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL","53521","N/A","12/12/2023","12/14/2023","0","6","6.4","6.7","0.26","NONE","3.6","70.59","211.88","59.39","14.69","24.2","48","72.2","64.42","56.8","7.62","111.47","1524.89","141.36","23.87","12.34","1.07","111.32","3.39","0.1","151.37","33.32","14.43","0.33","14.69","0","7.61","0","12.77","156.4","148.15","133.77","297.69","43.56","156.4","112.84","117.35","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
