"Sample Type","Lab No","Test ID","Date Recd","Date Rept","Beginning Depth","Ending Depth","Soil pH 1:1","Wdrf Buffer","1:1 Electrical Conductivity, mmho/cm","Excess Lime","Organic Matter, % LOI","Soil Respiration, ppm CO2-C","H2O Total Org. C, ppm C","H2O Total N, ppm N","H2O Org. N, ppm N","H3A Nitrate, ppm NO3-N","H3A Ammonium, ppm NH4-N","H3A Inorganic N, ppm N","H3A Total Phosphorus, ppm P","H3A Inorganic Phosphorus, ppm PO4-P","H3A Organic Phosphorus, ppm P","H3A Potassium, ppm K","H3A Calcium, ppm Ca","H3A Magnesium, ppm Mg","H3A Sodium, ppm Na","H3A Sulfur, ppm S","H3A Zinc, ppm Zn","H3A Iron, ppm Fe","H3A Manganese, ppm Mn","H3A Copper, ppm Cu","H3A Aluminum, ppm Al","Microbially Active C, %","H2O Org. C:Org. N ","H2O Org. N:H3A Inorg. N","Organic N Release, ppm N","Organic N Reserve, ppm N","Organic P Release, ppm P","Organic P Reserve, ppm P","Soil Health Score","Available N, lbs/A","Available P, lbs/A","Available K, lbs/A","Nutrient Value, $","Traditional Test N, lbs/A","Haney Test N, lbs/A","N Difference, lbs/A","N Savings, $","Cover Crop Mix","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Lime Rec 3"
"SOIL","31720","N/A","8/2/2023","8/4/2023","0","6","6.8","","0.19","NONE","3.3","116.08","113.82","30.3","7.73","21.1","1.65","22.75","107.57","92.5","15.07","30.12","707.32","74.6","9.98","16.12","2.31","147.25","6.39","0.52","87.19","101.98","14.72","0.34","7.73","0","15.07","0","12.72","54.86","247.4","36.15","188.94","37.98","54.86","16.88","17.56","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL","31721","N/A","8/2/2023","8/4/2023","0","6","6.8","","0.21","NONE","3.5","119.21","93.93","33.91","8.18","24.6","1.24","25.84","120.82","106","14.82","42.81","711.87","80.48","12.17","12.11","2.6","128.8","5.22","0.49","79.83","126.92","11.48","0.32","8.18","0","14.82","0","12.63","61.24","277.9","51.37","217.2","44.28","61.24","16.96","17.63","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL","31722","N/A","8/2/2023","8/4/2023","0","6","7.2","","0.2","NONE","3.4","141.54","122.78","26.89","8.32","17.4","1.48","18.88","138.47","122","16.47","37.09","770.2","79.61","19.24","13.43","3.7","135.58","4.66","0.63","74.73","115.28","14.75","0.45","8.32","0","16.47","0","15.08","48.96","318.47","44.51","219.67","31.32","48.96","17.64","18.35","30% Legume 70% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL","31723","N/A","8/2/2023","8/4/2023","0","6","6.3","6.8","0.2","NONE","2.9","138.36","115.6","35.56","8.69","25.7","1.62","27.32","102.38","88.7","13.68","32.79","639.7","65.04","11.36","15.34","2.32","141.66","8.2","0.51","85.65","119.68","13.3","0.32","8.69","0","13.68","0","14.71","64.83","235.47","39.35","195.41","46.26","64.83","18.57","19.31","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL","31724","N/A","8/2/2023","8/4/2023","0","6","6.1","6.8","0.12","NONE","2.2","49.62","82.87","11.07","5.41","4.17","2.51","6.68","8.94","8.2","0.74","47.09","346.43","86.77","19.14","15.57","0.48","70.36","3","0.3","135.4","59.89","15.33","0.96","5.41","0","0.74","0","7.16","21.76","20.57","56.51","60.34","7.51","21.76","14.25","14.82","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL","31725","N/A","8/2/2023","8/4/2023","0","6","6.6","","0.11","NONE","2","40.41","89.58","10.3","6.28","2.51","1.12","3.63","9.86","8.29","1.57","26.98","457.18","102.73","15.04","6.12","0.36","65.46","5.2","0.32","121.33","45.11","14.26","1.56","6.28","0","1.57","0","6.46","17.84","22.68","32.38","45.17","4.52","17.84","13.32","13.85","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL","31726","N/A","8/2/2023","8/4/2023","0","6","6.4","6.9","0.11","NONE","2.3","36.51","108.97","12.5","7.07","3.93","1.49","5.42","8.48","7.11","1.37","38.8","417.25","87.95","15.84","4.99","0.49","71.07","5.77","0.35","119.84","33.51","15.41","1.3","7.07","0","1.37","0","6.54","22.48","19.51","46.57","55.64","7.07","22.48","15.41","16.02","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL","31727","N/A","8/2/2023","8/4/2023","0","6","6.5","6.9","0.1","NONE","2.1","29.18","100.17","12.8","7.1","4.01","1.48","5.49","14.54","12","2.54","36.02","465.48","88.36","14.82","5.93","0.42","68.94","6.91","0.27","121.92","29.14","14.11","1.25","7.1","0","2.22","0.32","5.63","22.66","32.71","43.23","60.23","7.22","22.66","15.44","16.06","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL","31728","N/A","8/2/2023","8/4/2023","0","6","6.8","","0.1","NONE","2.8","89.97","85.89","14.67","5.98","7.14","1.11","8.25","62.88","53.8","9.08","82.6","510.98","42.68","9.14","4.26","4.76","161.13","6.77","0.39","47.39","104.75","14.37","0.69","5.98","0","9.08","0","11.31","25.61","144.63","99.12","142.72","12.85","25.61","12.76","13.27","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL","31729","N/A","8/2/2023","8/4/2023","0","6","6.7","","0.09","NONE","2.8","140.35","94.4","13.4","6.37","5.96","1.24","7.2","56.52","47.3","9.22","81.12","500.44","45.35","11.18","4.65","4.42","155.55","5.21","0.45","52.89","148.67","14.81","0.91","6.37","0","9.22","0","14.22","24.43","130","97.35","133.88","10.73","24.43","13.7","14.25","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL","31730","N/A","8/2/2023","8/4/2023","0","6","6.9","","0.11","NONE","3.1","167.7","83.62","16.58","5.61","9.92","1.2","11.12","65.97","56.3","9.67","103.35","528.68","48.49","9.83","5.28","5.24","165.64","5.01","0.39","48.09","200.56","14.92","0.51","5.61","0","9.67","0","16.21","30.11","151.74","124.02","163.12","17.86","30.11","12.25","12.74","30% Legume 70% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL","31731","N/A","8/2/2023","8/4/2023","0","6","6.9","","0.11","NONE","3","140.98","77.3","12.43","5.82","5.6","1.28","6.88","88.23","77.4","10.83","80.37","558.59","46.38","11.57","4.26","4.31","199.57","5.34","0.47","44.2","182.39","13.28","0.88","5.82","0","10.83","0","13.88","22.86","202.93","96.44","165.34","10.08","22.86","12.78","13.29","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOIL","31732","N/A","8/2/2023","8/4/2023","0","6","6.6","","0.1","NONE","3.3","65.96","135.09","14.89","8.19","5.11","1.45","6.56","19.14","16.2","2.94","39.14","527.31","97.1","13.55","3.24","0.74","77.68","4.79","0.39","125.47","48.83","16.49","1.22","8.19","0","2.94","0","10.12","26.55","44.03","46.96","71.35","9.2","26.55","17.35","18.05","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
