"Zip","Date Recd","Date Rept","Lab No","H1","1:1 Soil pH","WDRF Buffer","1:1 Soluble Salt","Excess Lime","Organic Matter","CO2-C","H2O Total N","H2O Organic N","H2O Total Organic C","H3A Nitrate","H3A Ammonium","H3A Inorganic Nitrogen","H3A Total Phosphorus","H3A Inorganic Phosphorus","H3A Organic Phosphorus","H3A ICAP Potassium","H3A ICAP Calcium","H3A ICAP Aluminum","H3A ICAP Iron","H3A ICAP Sulfur","H3A ICAP Zinc","H3A ICAP Manganese","H3A ICAP Copper","H3A ICAP Magnesium","H3A ICAP Sodium","% MAC","Organic C:N","Organic N:Inorganic N","Organic N Release","Organic N Reserve","Organic P Release","Organic P Reserve","Soil Health Calculation","Available N","Available P","Available K","Nutrient Value","Traditional N","Haney Test N","Lbs N Difference","N savings","Cover crop mix","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Lime Rec 3","Beta Glucosidase ppm pNP g-1 soil h-1","Urease ppm NH4-N g-1 soil h-1","Phosphodiesterase ppm pNP g-1 soil h-1","Dehydrogenase ppm INTF g-1 soil h-1","Fluorescein Diacetate Hydrolysis ppm fluorescein g-1 soil 3h-1","Beta Glucosaminidase ppm pNP g-1 soil h-1","Phosphomonoesterases (Acid) ppm pNP g-1 soil h-1","Phosphomonoesterases (Alkaline) ppm pNP g-1 soil h-1","Arylsulfatase ppm pNP g-1 soil h-1","Enzyme Soil Moisture %","Beginning Depth","Ending Depth"
"47403","11/10/2022","11/14/2022","25858","","7.14","","0.26","NONE","1.4","76.98","14.07","5.86","84.29","7.35","0.86","8.21","35.64","32.4","3.24","20.24","380.61","140.31","30.04","7.24","0.6","11.39","0.33","62.85","10.03","91.32","14.38","0.71","5.86","0","3.24","0","9.97","25.33","81.97","24.29","76.19","13.23","25.33","12.1","12.58","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"47403","11/10/2022","11/14/2022","25859","","6.77","","0.18","NONE","1.6","44.16","13.26","5.21","92.05","6.89","1.16","8.05","28.82","26.2","2.62","25.44","389.77","168.13","36.29","10.9","0.46","12.43","0.27","72.27","8.93","47.98","17.68","0.65","5.21","0","2.62","0","6.78","23.86","66.29","30.53","70.57","12.4","23.86","11.46","11.92","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"47403","11/10/2022","11/14/2022","25860","","6.53","6.75","0.14","NONE","1.4","24.11","12.29","4.79","87.83","6.02","1.48","7.5","32.34","29.4","2.94","22.84","289.7","173.48","38.17","8.93","0.44","7.02","0.21","56.72","10.6","27.44","18.35","0.64","4.79","0","2.42","0.52","4.65","22.12","73.19","27.41","70.37","10.84","22.12","11.28","11.73","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"47403","11/10/2022","11/14/2022","25861","","6.41","6.63","0.12","NONE","4.1","48.86","30.91","6.57","124.21","20","4.34","24.34","17.38","15.8","1.58","55.3","527.33","186.88","29.42","12","0.44","14","0.12","123.24","12.77","39.34","18.92","0.27","6.57","0","1.58","0","8.03","55.63","39.97","66.36","109.42","36","55.63","19.63","20.42","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"47403","11/10/2022","11/14/2022","25862","","6.21","6.77","0.28","NONE","1.9","27.5","38.11","4.34","84.51","32.5","1.27","33.77","26.07","23.7","2.37","43.26","449.42","178.05","48.53","26.85","0.48","13.8","0.23","81.75","16.41","32.55","19.46","0.13","4.34","0","2.31","0.06","4.88","68.6","59.83","51.91","124.83","58.5","68.6","10.1","10.51","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"47403","11/10/2022","11/14/2022","25863","","6.2","6.92","0.2","NONE","1.3","21.93","30.79","3.86","74.72","25.3","1.63","26.93","28.16","25.6","2.56","22.09","340.51","143.56","35.1","24.55","0.52","15.78","0.24","63.5","13.38","29.35","19.38","0.14","3.86","0","2.25","0.31","4.07","55.41","64.06","26.51","100.36","45.54","55.41","9.87","10.27","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"47403","11/10/2022","11/14/2022","25864","","6.29","6.86","0.13","NONE","1.3","11.43","16.17","5.88","72.96","9.64","0.65","10.29","32.45","29.5","2.95","14.96","264.29","141.58","36.94","10.89","0.51","14.11","0.24","50.94","15.61","15.66","12.41","0.57","3.68","2.2","1.39","1.56","3.19","25.16","71.04","17.96","67.82","17.35","25.16","7.81","8.12","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"47403","11/10/2022","11/14/2022","25865","","6.39","6.8","0.14","NONE","2.8","45.33","12.56","5.71","102.63","5.23","1.62","6.85","9.75","8.86","0.89","42.74","333.25","202.01","60.66","8.63","0.51","20.56","0.23","56.28","15.32","44.17","17.99","0.83","5.71","0","0.89","0","7.16","22.6","22.42","51.28","59.46","9.41","22.6","13.19","13.71","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"47403","11/10/2022","11/14/2022","25866","","6.52","6.86","0.17","NONE","1.7","27.98","11.32","4.31","75.36","6.17","0.85","7.02","20.68","18.8","1.88","22.22","326.24","160.7","39.02","6.39","0.53","15.69","0.3","47.59","15.3","37.12","17.5","0.61","4.31","0","1.88","0","4.74","20.38","47.56","26.67","56.41","11.11","20.38","9.27","9.64","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"47403","11/10/2022","11/14/2022","25867","","6.99","","0.1","NONE","1.5","19.42","11.48","3.89","70.72","6.3","1.29","7.59","13.42","12.2","1.22","20.24","338.48","166.65","43.09","3.64","0.34","14.28","0.25","65.8","13.29","27.47","18.2","0.51","3.89","0","1.01","0.21","3.75","20.66","30.37","24.28","47.59","11.34","20.66","9.32","9.69","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
