"Zip","Date Recd","Date Rept","Lab No","1:1 Soil pH","WDRF Buffer","1:1 Soluble Salt","Excess Lime","Organic Matter","CO2-C","H2O Total N","H2O Organic N","H2O Total Organic C","H3A Nitrate","H3A Ammonium","H3A Inorganic Nitrogen","H3A Total Phosphorus","H3A Inorganic Phosphorus","H3A Organic Phosphorus","H3A ICAP Potassium","H3A ICAP Calcium","H3A ICAP Aluminum","H3A ICAP Iron","H3A ICAP Sulfur","H3A ICAP Zinc","H3A ICAP Manganese","H3A ICAP Copper","H3A ICAP Magnesium","H3A ICAP Sodium","% MAC","Organic C:N","Organic N:Inorganic N","Organic N Release","Organic N Reserve","Organic P Release","Organic P Reserve","Soil Health Calculation","Available N","Available P","Available K","Nutrient Value","Traditional N","Haney Test N","Lbs N Difference","N savings","Cover crop mix","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Lime Rec 3","Beta Glucosidase ppm pNP g-1 soil h-1","Urease ppm NH4-N g-1 soil h-1","Phosphodiesterase ppm pNP g-1 soil h-1","Dehydrogenase ppm INTF g-1 soil h-1","Fluorescein Diacetate Hydrolysis ppm fluorescein g-1 soil 3h-1","Beta Glucosaminidase ppm pNP g-1 soil h-1","Phosphomonoesterases (Acid) ppm pNP g-1 soil h-1","Phosphomonoesterases (Alkaline) ppm pNP g-1 soil h-1","Arylsulfatase ppm pNP g-1 soil h-1","Enzyme Soil Moisture %","Beginning Depth","Ending Depth","Regen Certified","Score"
"76571","10/12/2022","10/14/2022","18665","7.67","","0.3","HIGH","2.4","64.81","26.34","22.51","238.6","1.04","2.56","3.6","27.42","22.9","4.52","120.07","911.4","151.85","15.01","21.11","0.64","1.8","0.24","345.31","103.48","27.16","10.6","5.88","22.51","0","3.68","0.84","13.5","47","61.14","144.09","149.05","1.87","47","45.12","46.93","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","18.65"
"76571","10/12/2022","10/14/2022","18666","7.94","","0.35","HIGH","1.7","19.38","17.3","13.19","133.3","1.21","2.42","3.63","3.28","2.98","0.3","65.08","1911.8","64.82","4.39","33.13","0.02","0.2","0.09","387.59","128.13","14.54","10.11","3.21","7.67","5.52","0.13","0.17","5.92","20.33","7.15","78.1","63.49","2.18","20.33","18.16","18.88","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/12/2022","10/14/2022","18667","8.2","","0.3","HIGH","2.1","30.51","32.75","24.31","236.72","6.2","2.11","8.31","6.52","5.11","1.41","124.43","2400.88","24.91","3.14","19.72","0.02","0.25","0.08","322.49","71.9","12.89","9.74","2.88","12.53","11.78","0.55","0.87","10.22","37.51","13.01","149.32","119.65","11.16","37.51","26.35","27.41","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","14.96"
"76571","10/12/2022","10/14/2022","18668","8.21","","0.34","HIGH","1.5","10.55","26.51","8.57","134.53","10.6","2.84","13.44","2.59","2.35","0.24","40.64","2749.23","16.49","1.86","31.14","0.01","0.14","0.02","292.18","99.25","7.84","15.7","0.48","2.69","5.88","0.06","0.18","4.6","29.03","5.53","48.77","57.12","19.08","29.03","9.95","10.35","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/12/2022","10/14/2022","18669","7.92","","0.34","HIGH","2.5","84.19","26.63","20.95","217.51","3.58","2.27","5.85","20.99","17.3","3.69","163.02","1483.82","80.41","10.06","20.22","0.42","0.83","0.2","383.15","80.98","38.7","10.38","3.69","20.95","0","3.69","0","14.86","48.24","48.27","195.62","170.18","6.44","48.24","41.79","43.47","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","30.91"
"76571","10/12/2022","10/14/2022","18670","8.03","","0.31","HIGH","1.6","11.14","14.04","8.3","101.06","3.29","2.22","5.51","2.88","2.62","0.26","50.17","1979.14","58.85","4.04","27.39","0.02","0.15","0.08","365.59","126.7","11.02","12.18","1.45","3.66","4.64","0.09","0.18","3.96","16.5","6.23","60.2","50.13","5.92","16.5","10.58","11.01","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/12/2022","10/14/2022","18671","8.18","","0.3","HIGH","2.2","19.51","26.37","18.48","202.86","5.18","2.22","7.4","4.74","4.31","0.43","126.18","2243.47","31.26","3.6","20.62","0.02","0.25","0.06","347.81","71.34","9.62","10.98","2.34","7.11","11.37","0.12","0.31","7.86","26.12","10.2","151.42","107.56","9.32","26.12","16.79","17.46","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","12.18"
"76571","10/12/2022","10/14/2022","18672","8.2","","0.23","HIGH","1.5","8.72","13.39","7.49","101.64","3.55","2.31","5.86","2.57","2.34","0.23","40.47","2565.9","24.97","2.39","23.54","0.01","0.07","0.04","319.84","109.74","8.58","13.56","1.27","2.57","4.92","0.06","0.17","3.65","15.17","5.52","48.57","42.6","6.39","15.17","8.78","9.14","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/12/2022","10/14/2022","18673","8.18","","0.31","HIGH","2.2","28.92","34.95","20.55","222","12.3","2.1","14.4","7.47","6.79","0.68","157.81","2410.9","26.47","2.68","23.86","0.03","0.23","0.09","326.52","85.12","13.03","10.8","1.43","10.71","9.84","0.27","0.41","9.39","45.19","16.23","189.37","149.15","22.14","45.19","23.05","23.97","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","11.6"
"76571","10/12/2022","10/14/2022","18674","8.07","","0.4","HIGH","1.7","10.57","53.82","13.49","121.89","37.2","1.93","39.13","2.68","2.44","0.24","55.3","2634.88","24.18","1.91","22.85","0.01","0.14","0.07","330.08","78.36","8.67","9.03","0.33","4.68","8.81","0.06","0.18","4.84","78.86","5.76","66.36","117.84","66.96","78.86","11.9","12.38","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
