"Zip","Date Recd","Date Rept","Lab No","1:1 Soil pH","WDRF Buffer","1:1 Soluble Salt","Excess Lime","Organic Matter","CO2-C","H2O Total N","H2O Organic N","H2O Total Organic C","H3A Nitrate","H3A Ammonium","H3A Inorganic Nitrogen","H3A Total Phosphorus","H3A Inorganic Phosphorus","H3A Organic Phosphorus","H3A ICAP Potassium","H3A ICAP Calcium","H3A ICAP Aluminum","H3A ICAP Iron","H3A ICAP Sulfur","H3A ICAP Zinc","H3A ICAP Manganese","H3A ICAP Copper","H3A ICAP Magnesium","H3A ICAP Sodium","% MAC","Organic C:N","Organic N:Inorganic N","Organic N Release","Organic N Reserve","Organic P Release","Organic P Reserve","Soil Health Calculation","Available N","Available P","Available K","Nutrient Value","Traditional N","Haney Test N","Lbs N Difference","N savings","Cover crop mix","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Lime Rec 3","Beta Glucosidase ppm pNP g-1 soil h-1","Urease ppm NH4-N g-1 soil h-1","Phosphodiesterase ppm pNP g-1 soil h-1","Dehydrogenase ppm INTF g-1 soil h-1","Fluorescein Diacetate Hydrolysis ppm fluorescein g-1 soil 3h-1","Beta Glucosaminidase ppm pNP g-1 soil h-1","Phosphomonoesterases (Acid) ppm pNP g-1 soil h-1","Phosphomonoesterases (Alkaline) ppm pNP g-1 soil h-1","Arylsulfatase ppm pNP g-1 soil h-1","Enzyme Soil Moisture %","Beginning Depth","Ending Depth","Regenerative Certified","Score"
"76571","10/18/2022","10/20/2022","19218","7.28","","0.2","HIGH","2.8","33.44","84.8","35.56","361.06","47.6","1.64","49.24","186.44","171","15.44","620.84","1767.05","32.92","16.75","43.32","1.89","3","0.45","306.42","90.92","9.26","10.15","0.72","13.17","22.39","4.29","11.15","14.12","112.34","403.17","745.01","674.8","85.68","112.34","26.66","27.73","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","NOT YET","6"
"76571","10/18/2022","10/20/2022","19219","7.54","","0.23","HIGH","1.7","20.39","47","33.67","295.34","11.4","1.93","13.33","121.51","112","9.51","397.82","1812.66","33.69","12.74","72.26","1.22","1.64","0.36","299.72","101.41","6.9","8.77","2.53","9.3","24.37","1.97","7.54","11.31","40.73","262.13","477.38","401.63","20.52","40.73","20.21","21.02","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/18/2022","10/20/2022","19220","7.84","","0.18","HIGH","1.6","21.12","47.46","29.22","284.3","16.5","1.74","18.24","71.79","66.4","5.39","328.63","2112.93","21.28","10.33","31.17","0.71","0.85","0.21","264.72","57.75","7.43","9.73","1.6","8.68","20.54","1.2","4.19","10.72","48.46","155.48","394.35","319.09","29.7","48.46","18.76","19.51","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","NOT YET","4.77"
"76571","10/18/2022","10/20/2022","19221","7.88","","0.21","HIGH","1.2","18.87","34.99","23.77","223.11","9.64","1.58","11.22","54.46","50.3","4.16","211.9","2227.49","21.06","8.5","42.25","0.7","0.7","0.19","267.99","60.18","8.46","9.39","2.12","8.04","15.73","1.05","3.1","8.73","34.67","118.11","254.27","217.53","17.35","34.67","17.32","18.01","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/18/2022","10/20/2022","19222","8.03","","0.27","HIGH","2.2","22.1","67.23","33.78","346.47","31.6","1.85","33.45","227.58","210","17.58","462.33","898.92","51.58","25.28","46.56","3.88","5.71","4.64","318.43","114.41","6.38","10.26","1.01","8.62","25.16","3.36","14.21","12.52","75.72","490.74","554.79","581.89","56.88","75.72","18.84","19.6","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","8.28"
"76571","10/18/2022","10/20/2022","19223","8.05","","0.52","HIGH","0.7","8.91","40.14","28.45","258.12","9.47","2.22","11.69","90.23","85.7","4.53","428.49","456.79","89.68","27.39","190.05","0.75","6.77","1.47","219.93","124.49","3.45","9.07","2.43","3.93","24.52","0.47","4.06","8.9","28.11","198.19","514.19","377.49","17.05","28.11","11.06","11.51","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/18/2022","10/20/2022","19224","8.01","","0.02","HIGH","2.4","42.05","70.9","32.38","340.89","36.8","1.72","38.52","77.41","70.4","7.01","552.28","1417.49","40.98","11.13","33.59","1.26","2.12","4.23","281.48","111.41","12.33","10.53","0.84","15.97","16.4","2.59","4.42","14.26","98.09","167.89","662.74","510.61","66.24","98.09","31.85","33.12","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","15.38"
"76571","10/18/2022","10/20/2022","19225","7.94","","0.01","HIGH","1.1","14.22","41.6","21.3","195.02","18.4","1.9","20.3","16.46","13.8","2.66","173.5","2047.53","33.58","10.07","35.01","0.29","1.17","0.81","265.32","121.89","7.29","9.15","1.05","6.21","15.09","0.58","2.08","7.45","47.72","33.08","208.2","168.95","33.12","47.72","14.6","15.19","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/18/2022","10/20/2022","19226","7.71","","0.01","HIGH","2.2","56.24","46.55","29.59","272.44","15.7","1.26","16.96","171.41","162","9.41","222.95","632.79","59.99","35.98","29.58","3.76","6.83","5.41","268.6","59.76","20.64","9.21","1.74","24.43","5.15","5.83","3.58","14.03","74.51","386","267.54","388.82","28.26","74.51","46.25","48.1","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","9.41"
"76571","10/18/2022","10/20/2022","19227","8.1","","0.02","HIGH","1","16.27","32.3","26.49","262.03","3.74","2.07","5.81","79.82","76.4","3.42","286.67","400.64","107.19","27.53","32.21","0.72","5.06","1.14","226.02","96.04","6.21","9.89","4.56","6.58","19.91","0.64","2.78","9.52","22.3","177.18","344","276.7","6.73","22.3","15.57","16.19","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/18/2022","10/20/2022","19228","7.85","","0.02","HIGH","3.1","67.65","89.89","35.22","406.83","53.1","1.57","54.67","245.93","227","18.93","551.62","1252.12","46.95","22.31","56.26","3.4","2.98","4.05","376.28","130.15","16.63","11.55","0.64","23.43","11.79","9.45","9.49","18.42","140.58","543.82","661.95","727.33","95.58","140.58","45","46.8","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","17.4"
"76571","10/18/2022","10/20/2022","19229","7.87","","0.01","HIGH","1.2","19.85","57.67","27.95","253.94","27.8","1.92","29.72","100.2","93.9","6.3","390.1","1129.66","62.16","16.41","108.77","1.01","1.19","1.92","308.78","177.27","7.82","9.08","0.94","8.74","19.21","1.48","4.83","9.86","69.23","219.37","468.11","406.97","50.04","69.23","19.19","19.96","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/18/2022","10/20/2022","19230","7.68","","0.01","HIGH","1.1","18.76","47.97","27.66","243.63","18.9","1.41","20.31","111.86","108","3.86","253.9","287.9","150.76","64.93","16.62","3.03","14.68","12.69","171.49","51.66","7.7","8.81","1.36","8.52","19.14","0.89","2.97","9.51","51.9","250.45","304.67","321.52","34.02","51.9","17.88","18.59","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","8.43"
"76571","10/18/2022","10/20/2022","19231","8.27","","0.02","HIGH","0.7","9.94","21.3","16.85","161.89","2.9","1.55","4.45","72.54","69.6","2.94","218.87","449.79","101.1","15.24","10.36","0.5","2.69","1.22","193.9","69.78","6.14","9.61","3.79","4.14","12.72","0.54","2.4","5.92","15.46","161.33","262.64","221.61","5.22","15.46","10.24","10.65","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
