"Zip","Date Recd","Date Rept","Lab No","1:1 Soil pH","WDRF Buffer","1:1 Soluble Salt","Excess Lime","Organic Matter","CO2-C","H2O Total N","H2O Organic N","H2O Total Organic C","H3A Nitrate","H3A Ammonium","H3A Inorganic Nitrogen","H3A Total Phosphorus","H3A Inorganic Phosphorus","H3A Organic Phosphorus","H3A ICAP Potassium","H3A ICAP Calcium","H3A ICAP Aluminum","H3A ICAP Iron","H3A ICAP Sulfur","H3A ICAP Zinc","H3A ICAP Manganese","H3A ICAP Copper","H3A ICAP Magnesium","H3A ICAP Sodium","% MAC","Organic C:N","Organic N:Inorganic N","Organic N Release","Organic N Reserve","Organic P Release","Organic P Reserve","Soil Health Calculation","Available N","Available P","Available K","Nutrient Value","Traditional N","Haney Test N","Lbs N Difference","N savings","Cover crop mix","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Lime Rec 3","Beta Glucosidase ppm pNP g-1 soil h-1","Urease ppm NH4-N g-1 soil h-1","Phosphodiesterase ppm pNP g-1 soil h-1","Dehydrogenase ppm INTF g-1 soil h-1","Fluorescein Diacetate Hydrolysis ppm fluorescein g-1 soil 3h-1","Beta Glucosaminidase ppm pNP g-1 soil h-1","Phosphomonoesterases (Acid) ppm pNP g-1 soil h-1","Phosphomonoesterases (Alkaline) ppm pNP g-1 soil h-1","Arylsulfatase ppm pNP g-1 soil h-1","Enzyme Soil Moisture %","Beginning Depth","Ending Depth","Regen Certified","Regen Score"
"76571","10/24/2022","10/26/2022","21354","8.5","","0.54","NONE","2.1","27.35","46.3","10.65","177","34.8","1.05","35.85","56.35","50.4","5.95","446.27","1786.37","64.83","6.87","42.4","0.07","0.83","0.28","330.31","143.82","15.45","16.61","0.3","6.59","4.07","2.76","3.19","7.34","76.38","122.26","535.52","403.44","62.64","76.38","13.74","14.29","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","NOT YET","6.33"
"76571","10/24/2022","10/26/2022","21355","8.2","","0.67","HIGH","1.7","16.48","33.8","7.26","127","25.9","0.83","26.73","9.94","7.88","2.06","196.93","2163.74","37.38","3.15","42.45","0.01","0.25","0.07","397.83","164.84","12.98","17.49","0.27","3.77","3.49","0.8","1.26","4.91","54.9","19.97","236.32","184.44","46.62","54.9","8.28","8.61","60% Legume 40% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/24/2022","10/26/2022","21356","8.6","","0.42","HIGH","3.1","48","45","20.6","249","23.6","1.06","24.66","26.09","21.7","4.39","447.02","2140.91","17.99","3.1","48.86","0.01","0.3","0.2","470.39","155.43","19.28","12.09","0.84","15.89","4.72","2.54","1.85","11.84","72.98","55.75","536.42","369.76","42.48","72.98","30.5","31.72","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","16.62"
"76571","10/24/2022","10/26/2022","21357","8.5","","0.55","HIGH","1.3","14.23","15.3","12.23","130","2.44","0.93","3.37","2.08","1.29","0.79","173.12","2144.87","21.42","2.93","85.79","0.01","0.17","0.08","548.97","244.44","10.95","10.63","3.99","5.36","6.88","0.26","0.53","5.25","15.7","3.56","207.74","121.84","4.39","15.7","11.31","11.76","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/24/2022","10/26/2022","21358","8.6","","0.47","HIGH","3.8","69.29","48.2","15.11","239","32.2","1.13","33.33","33.85","28.5","5.35","518.25","2070.46","16.55","2.61","44.35","0.02","0.32","0.2","498.15","139.55","28.99","15.82","0.46","15.11","0","4.65","0.7","13.22","87.19","76.25","621.9","436.7","57.96","87.19","29.23","30.4","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","20.75"
"76571","10/24/2022","10/26/2022","21359","8.5","","0.67","HIGH","1.9","16.5","18.7","10.93","120","7.66","0.82","8.48","1.98","1.52","0.46","229.15","2072.59","25.04","2.05","72.9","0.01","0.13","0.07","580.6","227.7","13.75","10.98","1.41","6.01","4.92","0.19","0.27","5.14","26.08","3.93","274.98","166.42","13.79","26.08","12.29","12.78","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/24/2022","10/26/2022","21360","8.5","","0.64","HIGH","2.8","40.96","65.5","13.45","224","51.2","1.5","52.7","11.42","8.14","3.28","472.46","2271","19.34","2.69","80.46","0.01","0.28","0.19","514.42","203.48","18.29","16.65","0.26","9.84","3.61","1.8","1.48","9.92","112.58","22.86","566.95","411.07","92.16","112.58","20.42","21.23","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","11.28"
"76571","10/24/2022","10/26/2022","21361","8.5","","0.71","HIGH","1.9","12.2","23.8","13.16","136","10.1","0.89","10.99","2","1.4","0.6","177.8","2347.07","18.38","2.25","63.17","0.01","0.16","0.06","522.19","214.19","8.97","10.33","1.24","4.72","8.44","0.16","0.44","5.26","28.28","3.59","213.36","137.74","18.18","28.28","10.1","10.5","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
"76571","10/24/2022","10/26/2022","21362","8.5","","0.66","HIGH","3.6","65.72","49.7","15.34","243","33.6","1.25","34.85","33.34","27.7","5.64","508.82","2126.57","18.18","2.93","56.85","0.01","0.31","0.16","500.86","160.23","27.05","15.85","0.45","15.34","0","4.57","1.06","12.97","90.33","74.23","610.58","433.38","60.48","90.33","29.85","31.05","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","YES","19.84"
"76571","10/24/2022","10/26/2022","21363","8.5","","0.77","HIGH","1.8","14.91","16.6","12.07","123","4.39","1.79","6.18","2.13","1.51","0.62","205.18","2272.64","19.99","2.32","86.25","0.01","0.14","0.07","551.59","232.91","12.12","10.19","2.67","5.85","6.22","0.23","0.39","5.16","21.66","3.99","246.21","147.47","7.9","21.66","13.75","14.3","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","",""
