"Zip","Date Recd","Date Rept","Lab No","1:1 Soil pH","WDRF Buffer","1:1 Soluble Salt","Excess Lime","Organic Matter","CO2-C","H2O Total N","H2O Organic N","H2O Total Organic C","H3A Nitrate","H3A Ammonium","H3A Inorganic Nitrogen","H3A Total Phosphorus","H3A Inorganic Phosphorus","H3A Organic Phosphorus","H3A ICAP Potassium","H3A ICAP Calcium","H3A ICAP Aluminum","H3A ICAP Iron","H3A ICAP Sulfur","H3A ICAP Zinc","H3A ICAP Manganese","H3A ICAP Copper","H3A ICAP Magnesium","H3A ICAP Sodium","% MAC","Organic C:N","Organic N:Inorganic N","Organic N Release","Organic N Reserve","Organic P Release","Organic P Reserve","Soil Health Calculation","Available N","Available P","Available K","Nutrient Value","Traditional N","Haney Test N","Lbs N Difference","N savings","Cover crop mix","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Lime Rec 3","Beta Glucosidase ppm pNP g-1 soil h-1","Urease ppm NH4-N g-1 soil h-1","Phosphodiesterase ppm pNP g-1 soil h-1","Dehydrogenase ppm INTF g-1 soil h-1","Fluorescein Diacetate Hydrolysis ppm fluorescein g-1 soil 3h-1","Beta Glucosaminidase ppm pNP g-1 soil h-1","Phosphomonoesterases (Acid) ppm pNP g-1 soil h-1","Phosphomonoesterases (Alkaline) ppm pNP g-1 soil h-1","Arylsulfatase ppm pNP g-1 soil h-1","Enzyme Soil Moisture %","Beginning Depth","Ending Depth","Regen Certified 6.8 or >","Score"
"76571","5/9/2022","5/11/2022","5006","7","","0.13","NONE","2.5","35.8","17.47","10.27","134","3.66","3.54","7.2","161.7","147","14.7","66","750","191","73","4","1.83","10.4","0.7","91","14","26.7","13.1","1.43","10.27","0","11.8","2.9","7.3","31.5","365.2","78.9","240.1","6.6","31.5","24.9","25.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","50% Legume 50% Grass","NOT YET","3.23"
"76571","5/9/2022","5/11/2022","5007","7.1","","0.13","NONE","2.6","26","16.72","10.85","136","3.24","2.63","5.9","183.7","167","16.7","86","838","206","70","5.14","2.72","10","0.69","107","17","19.1","12.5","1.85","8.3","2.56","9.6","7.1","6.4","25.5","406.1","103.6","265.1","5.8","25.5","19.7","20.46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","50% Legume 50% Grass","",""
"76571","5/9/2022","5/11/2022","5008","6.7","","0.13","NONE","2.2","20.9","13.39","8.45","109","2.12","3.03","5.2","166.1","151","15.1","68","520","207","77","3.47","1.92","9.7","0.8","102","8","19.2","12.9","1.71","6.49","1.96","8.7","6.4","5.1","21","367.3","81.1","231.3","3.8","21","17.1","17.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","50% Legume 50% Grass","NOT YET","2.2"
"76571","5/9/2022","5/11/2022","5009","6.9","","0.15","NONE","2.3","19.5","12.72","8.04","117","1.14","4.12","5.3","182.6","166","16.6","74","577","209","84","4.09","2.31","20.7","0.81","107","8","16.6","14.6","1.72","5.33","2.7","8.3","8.3","5.1","19.1","400.8","89.3","248.8","2.1","19.1","17","17.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","50% Legume 50% Grass","",""
"76571","5/9/2022","5/11/2022","5010","6.8","","0.17","NONE","2.1","23.7","13.41","8.38","124","1.54","3.49","5","111.1","101","10.1","73","491","181","85","3.63","1.62","12.3","0.66","95","5","19.1","14.8","1.67","6.39","1.99","5.8","4.3","5.7","20.6","245.6","87.8","178.3","2.8","20.6","17.8","18.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","50% Legume 50% Grass","NOT YET","1.41"
"76571","5/9/2022","5/11/2022","5011","7.1","","0.19","NONE","2.2","26.6","13.95","8.94","131","1.45","4.88","6.3","105.3","95.7","9.6","85","575","172","92","3.54","1.54","23.5","0.66","104","6","20.3","14.6","1.79","7.26","1.68","5.8","3.7","6.2","24.5","233.5","101.6","183.6","2.6","24.5","21.9","22.73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","50% Legume 50% Grass","",""
"76571","5/9/2022","5/11/2022","5012","6.7","","0.16","NONE","2.1","19","14.74","7.74","116","3.41","3.59","7","146.3","133","13.3","70","453","208","86","4.37","2.11","13.5","1.12","82","17","16.4","15","1.11","5.06","2.67","6.5","6.8","5","21.7","320.9","84.4","212.4","6.1","21.7","15.6","16.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","60% Legume 40% Grass","NOT YET","1.95"
"76571","5/9/2022","5/11/2022","5013","6.8","","0.15","NONE","2.1","19","14.52","7.77","122","1.73","6.83","8.6","150.7","137","13.7","77","451","208","86","4.83","2.15","16.3","1.18","85","18","15.5","15.8","1.15","4.82","2.95","6.4","7.3","5.1","24.1","329.8","91.9","222.7","3.1","24.1","21","21.81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","50% Legume 50% Grass","",""
"76571","5/9/2022","5/11/2022","5014","6.7","","0.15","NONE","2.3","24.6","12.44","7.67","126","1.11","3.63","4.7","112.2","102","10.2","78","499","192","86","3.9","1.76","20.1","0.67","95","6","19.6","16.4","1.61","6.01","1.66","6","4.2","5.8","19.4","248.4","94.1","181.4","2","19.4","17.4","18.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","50% Legume 50% Grass","NOT YET","1.36"
"76571","5/9/2022","5/11/2022","5015","7","","0.14","NONE","2.2","28.6","13.2","8.55","126","1.2","3.53","4.7","106.2","96.5","9.7","85","591","178","81","3.47","1.76","26.7","0.64","98","6","22.6","14.8","1.84","7.74","0.81","6.6","3.1","6.2","22.5","237","101.5","183.1","2.2","22.5","20.3","21.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","50% Legume 50% Grass","",""
