"Zip","Date Recd","Date Rept","Lab No","1:1 Soil pH","WDRF Buffer","1:1 Soluble Salt","Excess Lime","Organic Matter","CO2-C","H2O Total N","H2O Organic N","H2O Total Organic C","H3A Nitrate","H3A Ammonium","H3A Inorganic Nitrogen","H3A Total Phosphorus","H3A Inorganic Phosphorus","H3A Organic Phosphorus","H3A ICAP Potassium","H3A ICAP Calcium","H3A ICAP Aluminum","H3A ICAP Iron","H3A ICAP Sulfur","H3A ICAP Zinc","H3A ICAP Manganese","H3A ICAP Copper","H3A ICAP Magnesium","H3A ICAP Sodium","% MAC","Organic C:N","Organic N:Inorganic N","Organic N Release","Organic N Reserve","Organic P Release","Organic P Reserve","Soil Health Calculation","Available N","Available P","Available K","Nutrient Value","Traditional N","Haney Test N","Lbs N Difference","N savings","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Lime Rec 3","Beta Glucosidase ppm pNP g-1 soil h-1","Urease ppm NH4-N g-1 soil h-1","Phosphodiesterase ppm pNP g-1 soil h-1","Dehydrogenase ppm INTF g-1 soil h-1","Fluorescein Diacetate Hydrolysis ppm fluorescein g-1 soil 3h-1","Beta Glucosaminidase ppm pNP g-1 soil h-1","Phosphomonoesterases (Acid) ppm pNP g-1 soil h-1","Phosphomonoesterases (Alkaline) ppm pNP g-1 soil h-1","Arylsulfatase ppm pNP g-1 soil h-1","Enzyme Soil Moisture %","Beginning Depth","Ending Depth","Cover Crop Mix"
"76571","5/20/2022","5/24/2022","6604","5.2","6.4","0.21","NONE","3.7","25.7","43.14","14.87","114","23.2","1.67","24.9","9.2","8.3","0.8","25","330","159","37","3.77","0.6","12.2","0.06","78","8","22.5","7.7","0.53","13.38","1.5","0.6","0.3","6.3","68.9","20.5","29.9","96.0","41.8","68.9","27.1","28.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","50% Legume 50% Grass"
"76571","5/20/2022","5/24/2022","6605","6.2","6.5","0.34","NONE","3.9","87.0","58.77","13.67","116","33","1.8","34.8","15.0","13.6","1.4","44","469","127","36","6.34","1.52","11.0","0.11","138","8","74.8","8.5","0.3","13.67","0.0","1.4","0.0","12.4","87.2","34.4","52.3","132.7","59.4","87.2","27.8","28.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","10% Legume 90% Grass"
"76571","5/20/2022","5/24/2022","6606","5.9","6.6","0.52","NONE","4.5","159.6","100.49","14.96","119","74.4","2.13","76.5","29.0","26.4","2.6","53","592","121","46","15.32","1.38","15.4","0.1","109","11","134.2","8.0","0.17","14.96","0.0","2.6","0.0","17.2","164.7","66.8","64.2","234.1","133.9","164.7","30.8","31.98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","10% Legume 90% Grass"
"76571","5/20/2022","5/24/2022","6607","7.2","","0.44","NONE","5.7","26.4","70.86","18.25","152","35","2.91","37.9","42.9","39.0","3.9","119","879","104","29","13.94","3.61","13.5","0.18","84","11","17.4","8.3","0.35","12.67","5.6","2.0","1.9","7.5","91.0","94.4","142.4","209.3","63.0","91.0","28.0","29.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","10% Legume 90% Grass"
"76571","5/20/2022","5/24/2022","6608","5.4","6.4","0.62","NONE","4.4","81.7","88.54","13.52","111","65.5","7.02","72.5","40.9","37.2","3.7","97","494","153","47","10.72","3.71","22.3","0.36","121","8","73.8","8.2","0.18","13.52","0.0","3.7","0.0","11.7","154.9","94.1","117.0","262.8","117.9","154.9","37.0","38.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","10% Legume 90% Grass"
"76571","5/20/2022","5/24/2022","6609","6.7","","0.18","NONE","4.2","246.0","27.91","18.76","137","6.86","0.87","7.7","29.7","27.0","2.7","35","528","132","38","7.52","3.08","20.9","0.25","155","6","179.6","7.3","2.05","18.76","0.0","2.7","0.0","22.2","47.7","68.3","42.4","102.2","12.4","47.7","35.3","36.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","20% Legume 80% Grass"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
