"Zip","Date Recd","Date Rept","Lab No","1:1 Soil pH","WDRF Buffer","1:1 Soluble Salt","Excess Lime","Organic Matter","CO2-C","H2O Total N","H2O Organic N","H2O Total Organic C","H3A Nitrate","H3A Ammonium","H3A Inorganic Nitrogen","H3A Total Phosphorus","H3A Inorganic Phosphorus","H3A Organic Phosphorus","H3A ICAP Potassium","H3A ICAP Calcium","H3A ICAP Aluminum","H3A ICAP Iron","H3A ICAP Sulfur","H3A ICAP Zinc","H3A ICAP Manganese","H3A ICAP Copper","H3A ICAP Magnesium","H3A ICAP Sodium","% MAC","Organic C:N","Organic N:Inorganic N","Organic N Release","Organic N Reserve","Organic P Release","Organic P Reserve","Soil Health Calculation","Available N","Available P","Available K","Nutrient Value","Traditional N","Haney Test N","Lbs N Difference","N savings","Cover Crop Mix","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Lime Rec 3","Beta Glucosidase ppm pNP g-1 soil h-1","Urease ppm NH4-N g-1 soil h-1","Phosphodiesterase ppm pNP g-1 soil h-1","Dehydrogenase ppm INTF g-1 soil h-1","Fluorescein Diacetate Hydrolysis ppm fluorescein g-1 soil 3h-1","Beta Glucosaminidase ppm pNP g-1 soil h-1","Phosphomonoesterases (Acid) ppm pNP g-1 soil h-1","Phosphomonoesterases (Alkaline) ppm pNP g-1 soil h-1","Arylsulfatase ppm pNP g-1 soil h-1","Enzyme Soil Moisture %","Beginning Depth","Ending Depth"
"76571","8/17/2023","8/21/2023","33244","6.6","","0.09","NONE","3.0","47.02","17.63","13.09","190.69","2.74","2.44","5.18","20.43","18.2","2.23","111.58","477.51","148.42","52.91","3.12","0.24","8.47","0.17","189.59","18.77","24.66","14.57","2.88","12.91","0.18","1.65","0.58","9.82","32.57","45.65","133.9","121.82","4.93","32.57","27.63","28.74","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"76571","8/17/2023","8/21/2023","33245","6.7","","0.09","NONE","2.7","49.11","15.81","11.11","148.47","3.2","1.45","4.65","17.9","16.9","1","73.94","567.26","149.94","44.59","1.74","0.14","3.01","0.2","222.66","20.59","33.08","13.36","2.36","11.11","0","0.99","0.01","8.99","28.37","41.15","88.73","92.79","5.76","28.37","22.61","23.51","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12"
"76571","8/17/2023","8/21/2023","33246","6.3","6.6","0.10","NONE","2.9","45.27","18.85","12.81","181.53","4.31","2.49","6.8","21.57","19.1","2.47","123.92","346.29","124.81","69.4","2.61","0.33","10.95","0.3","158.19","19.82","24.94","14.17","2.12","12.78","0.03","1.85","0.62","9.44","35.24","48.18","148.7","133.17","7.76","35.24","27.48","28.58","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"76571","8/17/2023","8/21/2023","33247","6.0","6.7","0.09","NONE","2.8","27.87","21.23","12.6","179.47","6.95","2.59","9.54","20.5","18.2","2.3","105.87","361.86","130.16","67.98","2.83","0.29","8.35","0.29","170.23","35.01","15.53","14.25","1.46","7.82","4.77","1.07","1.23","7.64","31.26","44.33","127.05","116.42","12.51","31.26","18.75","19.5","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12"
"76571","8/17/2023","8/21/2023","33248","6.4","6.7","0.09","NONE","3.2","45","18.26","14.4","212.25","2.18","2.59","4.77","21.22","18.9","2.32","119.85","442.35","131.14","61.3","3.08","0.35","8.96","0.19","175.32","18.85","21.2","14.73","3.73","12.22","2.19","1.48","0.85","10.19","30.57","46.87","143.81","125.26","3.92","30.57","26.65","27.72","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"76571","8/17/2023","8/21/2023","33249","6.2","6.8","0.14","NONE","2.9","20.72","13.64","10.37","154.66","2.16","1.66","3.82","19.65","17.6","2.05","82.12","479.74","128.56","52.68","1.9","0.22","3.97","0.18","194.06","23.54","13.4","14.92","3.17","5.56","4.81","0.82","1.23","6.2","16.88","42.37","98.55","86.32","3.89","16.88","12.99","13.51","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12"
"76571","8/17/2023","8/21/2023","33250","6.5","6.8","0.12","NONE","2.8","59","17.78","12.03","174.22","4.69","2.91","7.6","22.52","20","2.52","110.42","437.58","131.26","55.38","2.39","0.29","9.15","0.28","186.31","26","33.86","14.48","2.09","12.03","0","2.52","0","10.59","35.33","51.79","132.5","126.82","8.44","35.33","26.89","27.96","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"76571","8/17/2023","8/21/2023","33251","7.4","","0.20","NONE","2.4","37.27","17.58","10.8","147.76","5.28","1.22","6.5","20.12","18.1","2.02","62.11","1001.72","101","28.63","2.18","0.2","2.64","0.15","299.35","43.43","25.22","13.68","1.59","10.8","0","1.53","0.49","7.76","31.15","45.15","74.53","90.43","9.5","31.15","21.64","22.51","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12"
"76571","8/17/2023","8/21/2023","33252","6.5","6.7","0.16","NONE","3.0","79.59","25.16","12.48","189.58","10.8","3.53","14.33","22.96","20.7","2.26","124.13","448.88","141.45","57.24","3.98","0.25","9.56","0.21","189.81","31.84","41.98","15.19","0.98","12.48","0","2.26","0","13","48.25","52.81","148.95","148.95","19.44","48.25","28.81","29.97","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"76571","8/17/2023","8/21/2023","33253","6.6","","0.14","NONE","2.8","47.95","22.75","12.43","174.14","7.9","2.6","10.5","19.82","17.9","1.92","92.95","441.4","132.27","52.91","2.69","0.22","7.15","0.25","187.93","39.05","27.54","14.01","1.2","12.43","0","1.59","0.33","9.52","41.28","44.82","111.54","119.31","14.22","41.28","27.06","28.14","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12"
