"Zip","Date Recd","Date Rept","Lab No","1:1 Soil pH","WDRF Buffer","1:1 Soluble Salt","Excess Lime","Organic Matter","CO2-C","H2O Total N","H2O Organic N","H2O Total Organic C","H3A Nitrate","H3A Ammonium","H3A Inorganic Nitrogen","H3A Total Phosphorus","H3A Inorganic Phosphorus","H3A Organic Phosphorus","H3A ICAP Potassium","H3A ICAP Calcium","H3A ICAP Aluminum","H3A ICAP Iron","H3A ICAP Sulfur","H3A ICAP Zinc","H3A ICAP Manganese","H3A ICAP Copper","H3A ICAP Magnesium","H3A ICAP Sodium","% MAC","Organic C:N","Organic N:Inorganic N","Organic N Release","Organic N Reserve","Organic P Release","Organic P Reserve","Soil Health Calculation","Available N","Available P","Available K","Nutrient Value","Traditional N","Haney Test N","Lbs N Difference","N savings","Cover Crop Mix","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Lime Rec 3","Beta Glucosidase ppm pNP g-1 soil h-1","Urease ppm NH4-N g-1 soil h-1","Phosphodiesterase ppm pNP g-1 soil h-1","Dehydrogenase ppm INTF g-1 soil h-1","Fluorescein Diacetate Hydrolysis ppm fluorescein g-1 soil 3h-1","Beta Glucosaminidase ppm pNP g-1 soil h-1","Phosphomonoesterases (Acid) ppm pNP g-1 soil h-1","Phosphomonoesterases (Alkaline) ppm pNP g-1 soil h-1","Arylsulfatase ppm pNP g-1 soil h-1","Enzyme Soil Moisture %","Beginning Depth","Ending Depth","Regen Score","Regen verified","MCC tons per acre"
"76571","3/15/2024","3/19/2024","6153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","38.4","Yes","10.3"
"76571","3/15/2024","3/19/2024","6154","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","","",""
"76571","3/15/2024","3/19/2024","6155","8","","0.23","HIGH","5.1","292.44","56.53","37.27","482.81","9.36","3.17","12.53","185.46","173","12.46","409.67","1377.03","62.99","21.11","18.52","1.08","3.87","0.56","517.28","70.34","60.57","12.95","1.94","37.27","0","12.46","0","34.27","89.64","426.55","491.6","535.24","16.85","89.64","72.79","75.7","20% Legume 80% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","30.2","Yes","7.6"
"76571","3/15/2024","3/19/2024","6156","8","","0.21","HIGH","1.9","40.81","27.18","23.15","325.55","2.46","3.15","5.61","59.36","51.4","7.96","404.66","551.12","184.49","27.1","24.84","0.31","7.7","0.44","380.93","101.05","12.54","14.06","5.74","11.61","11.54","2.99","4.97","12.91","30.99","125.11","485.59","332.58","4.43","30.99","26.57","27.63","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","","",""
"76571","3/15/2024","3/19/2024","6157","8.3","","0.43","HIGH","4","197.96","50.85","34.82","434.94","13.8","1.91","15.71","103.78","96.5","7.28","564.84","1785.56","39.01","7.24","22.46","0.01","1.15","0.3","478.66","128.47","45.51","12.49","2.17","34.82","0","7.28","0","28.68","90.96","238.69","677.81","543.29","24.84","90.96","66.12","68.76","20% Legume 80% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","23.3","Yes","6.7"
"76571","3/15/2024","3/19/2024","6158","8.2","","0.09","HIGH","1.9","48.91","28.4","18.81","280.19","7.46","3.13","10.59","20.1","17.1","3","420.78","1748.78","54.39","7.14","24","0.01","0.68","0.15","376.94","202.65","17.46","14.9","1.96","13.13","5.67","1.57","1.43","12.38","42.7","42.94","504.94","316.64","13.43","42.7","29.28","30.45","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","","",""
"76571","3/15/2024","3/19/2024","6159","8.4","","0.37","HIGH","4","148.15","49.95","33.22","445.5","14.5","1.72","16.22","98.94","91.5","7.44","775.97","1755.94","28.48","5.57","26.59","0.01","0.85","0.38","494.35","151.1","33.25","13.41","1.99","33.22","0","7.42","0.02","24.58","89","227.52","931.17","662.8","26.1","89","62.9","65.41","20% Legume 80% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","26.5","Yes","7.9"
"76571","3/15/2024","3/19/2024","6160","8.3","","0.42","HIGH","1.8","41.99","30.41","19.22","298.75","9.44","2.56","12","9.83","7.98","1.85","532.16","1864.67","41.5","4.57","30.03","0.01","0.32","0.14","463.69","255.39","14.06","15.54","1.72","10.81","8.41","0.78","1.07","12.1","41.05","20.14","638.6","371.26","16.99","41.05","24.06","25.02","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","","",""
"76571","3/15/2024","3/19/2024","6161","8.3","","0.4","HIGH","4.4","215.76","43","33.7","450.45","7.16","2.18","9.34","149.13","140","9.13","619.74","1701.28","26.37","5.76","22.66","0.01","1.02","0.41","507.62","124.74","47.9","13.37","3.62","33.7","0","9.13","0","27.79","77.46","342.99","743.69","610.18","12.89","77.46","64.58","67.16","20% Legume 80% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6","20.1","Yes","5.6"
"76571","3/15/2024","3/19/2024","6162","8.3","","0.44","HIGH","1.9","48.4","30.36","20.44","311.8","7.8","2.27","10.07","22.77","20.2","2.57","566.5","1625","49.28","5.26","39.71","0.01","0.5","0.25","463.23","249.27","15.52","15.25","2.06","12.69","7.75","1.2","1.38","13.12","40.97","49.22","679.8","405.15","14.04","40.97","26.93","28.01","40% Legume 60% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","12","","",""
