"Zip","Date Recd","Date Rept","Lab No","1:1 Soil pH","WDRF Buffer","1:1 Soluble Salt","Excess Lime","Organic Matter","CO2-C","H2O Total N","H2O Organic N","H2O Total Organic C","H3A Nitrate","H3A Ammonium","H3A Inorganic Nitrogen","H3A Total Phosphorus","H3A Inorganic Phosphorus","H3A Organic Phosphorus","H3A ICAP Potassium","H3A ICAP Calcium","H3A ICAP Aluminum","H3A ICAP Iron","H3A ICAP Sulfur","H3A ICAP Zinc","H3A ICAP Manganese","H3A ICAP Copper","H3A ICAP Magnesium","H3A ICAP Sodium","% MAC","Organic C:N","Organic N:Inorganic N","Organic N Release","Organic N Reserve","Organic P Release","Organic P Reserve","Soil Health Calculation","Available N","Available P","Available K","Nutrient Value","Traditional N","Haney Test N","Lbs N Difference","N savings","Cover crop mix","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Lime Rec 3","Beta Glucosidase ppm pNP g-1 soil h-1","Urease ppm NH4-N g-1 soil h-1","Phosphodiesterase ppm pNP g-1 soil h-1","Dehydrogenase ppm INTF g-1 soil h-1","Fluorescein Diacetate Hydrolysis ppm fluorescein g-1 soil 3h-1","Beta Glucosaminidase ppm pNP g-1 soil h-1","Phosphomonoesterases (Acid) ppm pNP g-1 soil h-1","Phosphomonoesterases (Alkaline) ppm pNP g-1 soil h-1","Arylsulfatase ppm pNP g-1 soil h-1","Enzyme Soil Moisture %","Beginning Depth","Ending Depth"
"57006","6/19/2020","6/19/2020","138","7.5","","1.44","LOW","3.8","42.54","60.12","14.61","148.79","40.96","4.55","45.51","11.86","10.01","1.85","127.89","3664.88","70.08","17.52","10.3","1.01","22.4","0.12","351.98","22.92","28.59","10.18","0.32","14.61","0","1.59","0.26","8.69","108.22","26.67","153.47","156.39","73.73","108.22","34.49","22.07","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"57006","6/19/2020","6/19/2020","139","7.7","","1.22","HIGH","3.6","27.22","56.77","14.15","142.74","39.92","2.7","42.62","4.98","4.05","0.93","144.91","6041.38","40.57","10.05","14.97","0.85","11.44","0.04","329.13","17.5","19.07","10.09","0.33","10.8","3.35","0.53","0.4","6.99","96.15","10.54","173.89","152.59","71.86","96.15","24.29","15.55","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"57006","6/19/2020","6/19/2020","140","7.7","","1.92","HIGH","3.4","20.48","29.41","12.6","140.62","15.05","1.76","16.81","11.79","10.8","0.99","145.15","5664.9","39.44","14.17","25.03","1","11.92","0.06","567.46","103.07","14.57","11.16","0.75","7.34","5.26","0.43","0.56","6.12","43.47","25.83","174.18","124.99","27.09","43.47","16.38","10.48","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"57006","6/19/2020","6/19/2020","141","7.7","","0.86","HIGH","3.4","25.1","20.85","8.9","126.37","10.1","1.85","11.95","5.17","4.09","1.08","108.55","5582.63","45.24","11.32","13.8","1.01","10.3","0.06","304.42","16.04","19.86","14.2","0.74","7.07","1.83","0.64","0.44","5.93","34.24","10.89","130.26","91.29","18.18","34.24","16.06","10.28","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"57006","6/19/2020","6/19/2020","142","7.7","","2.14","HIGH","4.1","36.02","25.14","11.11","137.61","11.62","2.41","14.03","4.25","3.66","0.59","79.08","5322.9","72.26","29.81","28.52","0.9","19.52","0.09","558.67","88.51","26.17","12.39","0.79","11.11","0","0.46","0.13","7.46","45.25","9.48","94.9","80.11","20.92","45.25","24.34","15.58","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"57006","6/19/2020","6/19/2020","143","7.8","","1.34","HIGH","3.2","20.48","57.5","12.18","125.82","41.89","3.43","45.32","11.6","10.92","0.68","208.48","6212.9","35.86","9.06","14.64","0.92","10.17","0.03","305.62","16.59","16.27","10.33","0.27","7.93","4.25","0.33","0.35","5.78","95.85","25.88","250.18","196.52","75.4","95.85","20.44","13.08","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"57006","6/19/2020","6/19/2020","144","7.7","","0.92","HIGH","3.2","32.22","25.12","9.21","107.73","13.24","2.67","15.91","3.23","2.65","0.58","95.03","4982.06","53.51","11.27","11.8","0.89","14.77","0.05","318.08","657.84","29.91","11.7","0.58","9.21","0","0.52","0.06","6.3","45.22","7.29","114.04","88.8","23.83","45.22","21.38","13.69","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"57006","6/19/2020","6/19/2020","145","7.5","","1.6","HIGH","3.3","34.94","66.22","11.77","108.13","46.88","7.57","54.45","8.04","7.56","0.48","82.07","5780.3","51.04","17.21","15.08","0.87","13.55","0.05","349.61","22.87","32.31","9.19","0.22","11.77","0","0.47","0.01","6.83","119.2","18.46","98.48","132.73","84.38","119.2","34.81","22.28","10% Legume 90% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"57006","6/19/2020","6/19/2020","146","7.6","","1.32","HIGH","4","23.6","20.24","8.59","121.24","9.92","1.73","11.65","4.21","3.35","0.86","129.95","5550.32","54.98","15.96","16.8","0.91","11.48","0.06","331.82","27.05","19.47","14.11","0.74","6.69","1.9","0.5","0.36","5.64","33.01","8.86","155.94","102.55","17.86","33.01","15.15","9.7","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"57006","6/19/2020","6/19/2020","147","7.7","","1.46","HIGH","3.3","28.11","27.41","9.68","98.4","16.14","1.59","17.73","2.2","1.94","0.26","76.11","6048.24","45.03","17.64","16.72","0.94","10.26","0.07","355.63","25.28","28.57","10.17","0.55","9.68","0","0.22","0.04","5.75","49.34","4.97","91.33","79.18","29.05","49.34","20.29","12.98","50% Legume 50% Grass","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
