"Zip","Date Recd","Date Rept","Lab No","1:1 Soil pH","WDRF Buffer","1:1 Soluble Salt","Excess Lime","Organic Matter","CO2-C","H2O Total N","H2O Organic N","H2O Total Organic C","H3A Nitrate","H3A Ammonium","H3A Inorganic Nitrogen","H3A Total Phosphorus","H3A Inorganic Phosphorus","H3A Organic Phosphorus","H3A ICAP Potassium","H3A ICAP Calcium","H3A ICAP Aluminum","H3A ICAP Iron","H3A ICAP Sulfur","H3A ICAP Zinc","H3A ICAP Manganese","H3A ICAP Copper","H3A ICAP Magnesium","H3A ICAP Sodium","% MAC","Organic C:N","Organic N:Inorganic N","Organic N Release","Organic N Reserve","Organic P Release","Organic P Reserve","Soil Health Calculation","Available N","Available P","Available K","Nutrient Value","Traditional N","Haney Test N","Lbs N Difference","N savings","Past Crop","Crop 1","YG 1","Nitrogen Rec 1","P205 Rec 1","K2O Rec 1","Magnesium Rec 1","Sulfur Rec 1","Zinc Rec 1","Iron Rec 1","Manganese Rec 1","Copper Rec 1","Lime Rec 1","Crop 2","YG 2","Nitrogen Rec 2","P205 Rec 2","K2O Rec 2","Magnesium Rec 2","Sulfur Rec 2","Zinc Rec 2","Iron Rec 2","Manganese Rec 2","Copper Rec 2","Lime Rec 2","Crop 3","YG 3","Nitrogen Rec 3","P205 Rec 3","K2O Rec 3","Magnesium Rec 3","Sulfur Rec 3","Zinc Rec 3","Iron Rec 3","Manganese Rec 3","Copper Rec 3","Lime Rec 3","Beta Glucosidase ppm pNP g-1 soil h-1","Urease ppm NH4-N g-1 soil h-1","Phosphodiesterase ppm pNP g-1 soil h-1","Dehydrogenase ppm INTF g-1 soil h-1","Fluorescein Diacetate Hydrolysis ppm fluorescein g-1 soil 3h-1","Beta Glucosaminidase ppm pNP g-1 soil h-1","Phosphomonoesterases (Acid) ppm pNP g-1 soil h-1","Phosphomonoesterases (Alkaline) ppm pNP g-1 soil h-1","Arylsulfatase ppm pNP g-1 soil h-1","Enzyme Soil Moisture %","Beginning Depth","Ending Depth"
"2129","12/21/2020","12/23/2020","3412","6.0","6.4","0.20","NONE","3.3","25.8","24.54","17.16","207.32","6.89","0.63","7.51","15.04","11.1","3.94","32.26","730.57","179.83","84.46","5.19","0.55","3.25","0.16","77.24","13.2","12.44","12.08","2.33","8.54","8.62","1.47","2.47","8.44","28.9","28.91","38.71","49.13","12.4","28.9","16.5","10.56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"2129","12/21/2020","12/23/2020","3413","6.3","6.5","0.26","NONE","3.9","41.63","29.81","22.06","274.16","7.77","0.94","8.71","20.53","14.4","6.13","47.53","906.61","204.54","81.45","6.39","0.45","2.21","0.16","107.42","14.75","15.18","12.43","2.84","13.4","8.66","2.79","3.34","11.85","39.79","39.54","57.04","69.41","13.99","39.79","25.81","16.52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"2129","12/21/2020","12/23/2020","3414","6.3","6.6","0.26","NONE","3.2","36.58","32.75","18.79","205.41","13.4","1.43","14.83","31.9","26.4","5.5","38.09","841.13","164.38","93.25","7.45","0.65","3.77","0.22","98","14.15","17.81","10.93","1.35","13.39","5.4","2.94","2.56","9.65","50.79","67.48","45.71","81.68","24.12","50.79","26.67","17.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"2129","12/21/2020","12/23/2020","3415","6.3","6.6","0.26","NONE","3.5","46.22","34.83","23.12","234.88","10.9","0.67","11.57","33.75","28.2","5.55","46.19","863.06","166.86","103.94","5.86","0.71","2.63","0.21","103.25","13.18","19.68","10.16","1.97","18.2","4.92","3.27","2.27","11.63","53.59","72.39","55.42","90.24","19.62","53.59","33.97","21.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"2129","12/21/2020","12/23/2020","3416","5.9","6.4","0.29","NONE","3.1","32.53","40.94","19.57","182.27","21.2","0.84","22.04","24.33","18.3","6.03","37.93","730.74","182.42","98.56","5.87","0.7","3.74","0.18","93.88","14.55","17.85","9.31","0.92","13.97","5.6","3.23","2.8","8.86","64.82","49.52","45.52","83.55","38.16","64.82","26.66","17.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"2129","12/21/2020","12/23/2020","3417","7.0","","0.24","NONE","3.0","50.65","31.08","23.78","235.32","6.84","1.2","8.04","21.57","16.3","5.27","35.78","862.91","170.74","71.15","6.35","0.72","3.59","0.24","113.96","14.63","21.52","9.9","3.26","20.47","3.31","3.4","1.87","12.15","51.32","45.31","42.94","71.99","12.31","51.32","39.01","24.97","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"2129","12/21/2020","12/23/2020","3418","7.2","","0.24","NONE","3.1","30.68","25.43","18.06","208.98","6.79","0.71","7.5","21.3","16.5","4.8","37.44","897.07","151.91","60.06","5.53","0.78","3.34","0.23","112.34","15.78","14.68","11.57","2.45","10.6","7.46","2.11","2.68","9.05","32.59","42.81","44.92","60.02","12.22","32.59","20.37","13.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"2129","12/21/2020","12/23/2020","3419","7.1","","0.24","NONE","3.2","39.25","28.93","21.34","232.32","7.28","0.79","8.07","19.89","15","4.89","37.94","839.96","160.43","71.59","4.68","0.76","3.1","0.2","123.29","15.02","16.9","10.89","2.81","14.42","6.92","2.48","2.41","10.71","40.5","40.2","45.52","64.36","13.1","40.5","27.39","17.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"2129","12/21/2020","12/23/2020","3420","6.1","6.4","0.23","NONE","3.7","41.64","29.32","22.04","251.26","7.53","0.67","8.2","32.77","26.3","6.47","45.1","800.75","188.41","94.55","7.22","0.78","3.04","0.19","125.46","15.68","16.57","11.4","3.03","14.61","7.43","3.22","3.25","11.39","41.07","67.89","54.12","79.83","13.55","41.07","27.52","17.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"2129","12/21/2020","12/23/2020","3421","6.7","","0.23","NONE","3.4","47.42","25.94","17.86","206.42","8.19","0.87","9.06","23.88","18.4","5.48","38.39","850.56","156.76","66.23","4.96","1.05","3.25","0.16","127.19","14.8","22.97","11.56","2.21","16.41","1.45","3.78","1.7","10.66","45.85","51.01","46.07","72.27","14.74","45.85","31.11","19.91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"2129","12/21/2020","12/23/2020","3422","6.6","","0.23","NONE","3.6","48.05","28.47","20.97","237.6","6.85","0.83","7.68","28.62","23.2","5.42","36.97","847.28","170.22","70.62","6.05","0.76","2.75","0.18","140.99","15.14","20.22","11.33","2.8","16.97","4.01","3.29","2.13","11.65","44.37","60.93","44.37","74.34","12.33","44.37","32.04","20.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
"2129","12/21/2020","12/23/2020","3423","6.1","6.4","0.35","NONE","4.4","48.51","31.04","23.98","280.74","7.1","0.94","8.04","33.25","26.3","6.95","45.43","815.78","232.92","80.53","7.34","0.4","1.48","0.22","165.07","16.65","17.28","11.71","3.4","16.57","7.41","3.6","3.35","12.86","44.31","68.77","54.52","82.44","12.78","44.31","31.53","20.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","6"
