Metric,Count,Outliers,Outlier_%,Min,Q1,Median,Q3,Max
Soil pH 1:1,4453,31,0.7,4.1,6.6,7.2,7.7,9.0
"1:1 Electrical Conductivity, mmho/cm",4529,569,12.56,0.02,0.13,0.18,0.32,6.2
"Organic Matter, % LOI",4539,143,3.15,0.3,1.9,2.9,4.2,46.6
"Soil Respiration, ppm CO2-C",4537,350,7.71,2.5,23.58,44.65,100.9,1023.75
"H3A Nitrate, ppm NO3-N",4537,413,9.1,0.1,4.35,8.1,16.2,270.0
"H3A Total Phosphorus, ppm P",4537,426,9.39,1.16,11.69,24.62,52.0,1116.47
"H3A Potassium, ppm K",4537,228,5.03,8.0,56.88,90.27,152.05,1172.97
"H3A Calcium, ppm Ca",4437,499,11.25,107.92,526.96,758.9,1387.44,5478.92
Soil Health Score,4437,183,4.12,1.09,6.59,9.86,15.24,608.23
1:1 Soil pH,14789,29,0.2,3.9,6.4,7.0,7.6,9.7
